title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
MapleLodge Zabiha Halal Spicy Buffalo Chicken Wings 908g 20Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,14.99,,,,,,,GFFPFM001,GFFPFM001.JPG,,taxable ,standard-rate
MapleLodge Zabiha Halal Breaded Chicken Burgers 908g 10Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,10.99,,,,,,,GFFPFM002,GFFPFM002.JPG,,taxable ,standard-rate
MapleLodge Zabiha Halal Chicken Burgers 908g 6Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,9.99,,,,,,,GFFPFM003,GFFPFM003.JPG,,taxable ,standard-rate
MapleLodge Zabiha Halal Chicken Breast Strips 908g 30Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,10.99,,,,,,,GFFPFM004,GFFPFM004.JPG,,taxable ,standard-rate
MapleLodge Zabiha Halal Chicken Breasts 908g 6Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,16.99,,,,,,,GFFPFM005,GFFPFM005.JPG,,taxable ,standard-rate
Sensations Chicken Sliders Mini Chicken Burgers 680g 12Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,8.99,,,,,,,GFFPFM006,GFFPFM006.JPG,,taxable ,standard-rate
Sensations Angus Beef Sliders Mini Beef Burgers 810g 18Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,7.99,,,,,,,GFFPFM007,GFFPFM007.JPG,,taxable ,standard-rate
Sensations Mesquite BBQ Sirloin 1.13Kg 8Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,11.99,,,,,,,GFFPFM008,GFFPFM008.JPG,,taxable ,standard-rate
Sensations Souvlaki Chicken Burger 850g 6Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,11.99,,,,,,,GFFPFM009,GFFPFM009.JPG,,taxable ,standard-rate
Sensations Peppercorn & Garlic Beef Burger 1.13Kg 8Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,11.99,,,,,,,GFFPFM010,GFFPFM010.JPG,,taxable ,standard-rate
Sensations Korean Style Beef Burgers 1.13Kg 8Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,7.99,,,,,,,GFFPFM011,GFFPFM011.JPG,,taxable ,standard-rate
Sensations Prime Rib Beef Burgers 1.13Kg 8Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,11.99,,,,,,,GFFPFM012,GFFPFM012.JPG,,taxable ,standard-rate
Sensations Portobello & Swiss Stuffed Beff Burger 1.02Kg 6Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,11.99,,,,,,,GFFPFM013,GFFPFM013.JPG,,taxable ,standard-rate
Sensations Three Cheese Beef Burger 1.13Kg 8Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,11.99,,,,,,,GFFPFM014,GFFPFM014.JPG,,taxable ,standard-rate
Sensations Cheddar & Bacon Beef Burger 1.13Kg 8Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,11.99,,,,,,,GFFPFM015,GFFPFM015.JPG,,taxable ,standard-rate
Sensations Jalapeno & Cheddar Stuffed Beef Burger 1.02Kg 6Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,11.99,,,,,,,GFFPFM016,GFFPFM016.JPG,,taxable ,standard-rate
Sensations Bacon & Cheddar Stuffed Chicken Burger 1.02Kg 6Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,11.99,,,,,,,GFFPFM017,GFFPFM017.JPG,,taxable ,standard-rate
Sensations Pork Back Ribs in BBQ Sauce 680g 1Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,11.99,,,,,,,GFFPFM018,GFFPFM018.JPG,,taxable ,standard-rate
Mortimers English Beef Pies 284g 2Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,3.49,,,,,,,GFFPFM019,GFFPFM019.JPG,,taxable ,standard-rate
Mortimers Chicken Pies 1.2Kg 6Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,7.99,,,,,,,GFFPFM020,GFFPFM020.JPG,,taxable ,standard-rate
Mortimers Beef Shepherd's Pie 200g 1Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,1.99,,,,,,,GFFPFM021,GFFPFM021.JPG,,taxable ,standard-rate
Mortimers Beef Shepherd's Pie 1.2Kg 6Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,7.99,,,,,,,GFFPFM022,GFFPFM022.JPG,,taxable ,standard-rate
Schneiders Beefsteak Pies 400g 6Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,4.99,,,,,,,GFFPFM023,GFFPFM023.JPG,,taxable ,standard-rate
Schneiders Chicken Pies 400g 6Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,5.29,,,,,,,GFFPFM024,GFFPFM024.JPG,,taxable ,standard-rate
Schneiders Sausage Rolls 450g 12Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,5.99,,,,,,,GFFPFM025,GFFPFM025.JPG,,taxable ,standard-rate
Schneiders Shepherd's Pie 175g ,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,2.29,,,,,,,GFFPFM026,GFFPFM026.JPG,,taxable ,standard-rate
Schneiders Beef Steakettes 400g,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,5.99,,,,,,,GFFPFM027,GFFPFM027.JPG,,taxable ,standard-rate
Schneiders Oktoberfest Cured Sausage 375g 4Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,4.99,,,,,,,GFFPFM028,GFFPFM028.JPG,,taxable ,standard-rate
Schneiders Mini Sizzlers 375g 12Pk ,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,4.99,,,,,,,GFFPFM029,GFFPFM029.JPG,,taxable ,standard-rate
Maple Leaf Sausage Rounds Original 500g 12Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,5.49,,,,,,,GFFPFM030,GFFPFM030.JPG,,taxable ,standard-rate
Cowboy 4oz Beef Burgers 1.36Kg 12Pk,,,Groceries->Frozen Foods->Prepared and Frozen Meat,,11.99,,,,,,,GFFPFM031,GFFPFM031.JPG,,taxable ,standard-rate
