title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
HighLiner Pan Sear Tilapia Lime Chili 540g,,,Groceries->Frozen Foods->Frozen Fishes,,13.83,,,,,,,GFFFF001,GFFFF001.JPG,,taxable ,standard-rate
HighLiner Pan Sear Haddock Traditional 540g,,,Groceries->Frozen Foods->Frozen Fishes,,13.83,,,,,,,GFFFF002,GFFFF002.JPG,,taxable ,standard-rate
HighLiner Selects Wild Pacific Salmon Garlic & Herb 540g,,,Groceries->Frozen Foods->Frozen Fishes,,13.83,,,,,,,GFFFF003,GFFFF003.JPG,,taxable ,standard-rate
HighLiner Pan Sear Cod Savoury Herb 540g,,,Groceries->Frozen Foods->Frozen Fishes,,13.83,,,,,,,GFFFF004,GFFFF004.JPG,,taxable ,standard-rate
HighLiner Selects Wild Pacific Salmon in Dill Sauce 540g,,,Groceries->Frozen Foods->Frozen Fishes,,13.83,,,,,,,GFFFF005,GFFFF005.JPG,,taxable ,standard-rate
HighLiner pan Sear Salmon Mediterranean 540g,,,Groceries->Frozen Foods->Frozen Fishes,,13.83,,,,,,,GFFFF006,GFFFF006.JPG,,taxable ,standard-rate
HighLiner Selects Tilapia with a Lemon Herb Crust 540g,,,Groceries->Frozen Foods->Frozen Fishes,,13.83,,,,,,,GFFFF007,GFFFF007.JPG,,taxable ,standard-rate
HighLiner Pan Sear Sole Lemon Pepper 540g,,,Groceries->Frozen Foods->Frozen Fishes,,13.83,,,,,,,GFFFF008,GFFFF008.JPG,,taxable ,standard-rate
HighLiner Flame Savour Wild Salmon Smoky Applewood 500g,,,Groceries->Frozen Foods->Frozen Fishes,,13.83,,,,,,,GFFFF009,GFFFF009.JPG,,taxable ,standard-rate
HighLiner Flame Savour Tilapia Tuscan Herb 500g,,,Groceries->Frozen Foods->Frozen Fishes,,13.83,,,,,,,GFFFF010,GFFFF010.JPG,,taxable ,standard-rate
HighLiner Flame Savour Haddock Citrus Peppercorn 500g,,,Groceries->Frozen Foods->Frozen Fishes,,13.83,,,,,,,GFFFF011,GFFFF011.JPG,,taxable ,standard-rate
