title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Welch's Grape 341ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF001,GFFFJF001.JPG,,taxable,standard-rate
Welch's White Grape 341ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,2.19,,,,,,,GFFFJF002,GFFFJF002.JPG,,taxable,standard-rate
Ocean Spray Cranberry Cocktail 275ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,2.99,,,,,,,GFFFJF003,GFFFJF003.JPG,,taxable,standard-rate
Bacardi Daiquiri Strawberry 250ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,2.49,,,,,,,GFFFJF004,GFFFJF004.JPG,,taxable,standard-rate
Bacardi Margarita Mixed Lime 250ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,2.49,,,,,,,GFFFJF005,GFFFJF005.JPG,,taxable,standard-rate
Signal Orange Juice 283ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.79,,,,,,,GFFFJF006,GFFFJF006.JPG,,taxable,standard-rate
Signal Berry Punch 283ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.79,,,,,,,GFFFJF007,GFFFJF007.JPG,,taxable,standard-rate
Signal Orange Punch 283ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.79,,,,,,,GFFFJF008,GFFFJF008.JPG,,taxable,standard-rate
MinuteMaid Limeade 295ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.79,,,,,,,GFFFJF009,GFFFJF009.JPG,,taxable,standard-rate
MinuteMaid Orange Pulp Free 295ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF010,GFFFJF010.JPG,,taxable,standard-rate
MinuteMaid Peach 295ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF011,GFFFJF011.JPG,,taxable,standard-rate
MinuteMaid Smoothies Tropical 250ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF012,GFFFJF012.JPG,,taxable,standard-rate
MinuteMaid Smoothies Strawberry Banana 250ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF013,GFFFJF013.JPG,,taxable,standard-rate
MinuteMaid Orange 295ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF014,GFFFJF014.JPG,,taxable,standard-rate
MinuteMaid Cranberry 295ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF015,GFFFJF015.JPG,,taxable,standard-rate
MinuteMaid Berry 295ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF016,GFFFJF016.JPG,,taxable,standard-rate
MinuteMaid Orange Low Acid 295ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF017,GFFFJF017.JPG,,taxable,standard-rate
MinuteMaid Orange Calcium and Vitamin D 295ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF018,GFFFJF018.JPG,,taxable,standard-rate
MinuteMaid Fruits 295ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF019,GFFFJF019.JPG,,taxable,standard-rate
MinuteMaid Mango 295ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF020,GFFFJF020.JPG,,taxable,standard-rate
MinuteMaid Orange Original 295ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF021,GFFFJF021.JPG,,taxable,standard-rate
MinuteMaid Grape 295ml,,,Groceries->Frozen Foods->Frozen Juices and Fruits,,1.99,,,,,,,GFFFJF022,GFFFJF022.JPG,,taxable,standard-rate
