title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Dole Mandarin Orange 107ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.69,,,,,,,SDFC001,SDFC001.JPG,,taxable,standard-rate
Dole Fruit Bowl Fruit Salad 107ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.69,,,,,,,SDFC002,SDFC002.JPG,,taxable,standard-rate
Dole Fruit Bowl Tropical Fruit 107ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.69,,,,,,,SDFC003,SDFC003.JPG,,taxable,standard-rate
Dole Diced Peach 107ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.69,,,,,,,SDFC004,SDFC004.JPG,,taxable,standard-rate
Dole Gel Peach Strawberry 123g 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.69,,,,,,,SDFC005,SDFC005.JPG,,taxable,standard-rate
Dole Fruit Bowl Lots of Cherry 107ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.69,,,,,,,SDFC006,SDFC006.JPG,,taxable,standard-rate
Dole Fruit N Crisp Apple Cinnamon 226g 2Pk,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC007,SDFC007.JPG,,taxable,standard-rate
Dole Fruit N Crisp Apple Pear 226g 2Pk,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC008,SDFC008.JPG,,taxable,standard-rate
Dole Fruit N Crisp Peach 226g 2Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC009,SDFC009.JPG,,taxable,standard-rate
Compliments Fruit & Jelly Mandarin Orange 125ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.79,,,,,,,SDFC010,SDFC010.JPG,,taxable,standard-rate
Compliments Peaches Diced Light Syrup 125ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.79,,,,,,,SDFC011,SDFC011.JPG,,taxable,standard-rate
Compliments Fruit Salad with Cherry Light Syrup 125ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.79,,,,,,,SDFC012,SDFC012.JPG,,taxable,standard-rate
Compliments Fruit Salad Diced 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC013,SDFC013.JPG,,taxable,standard-rate
Compliments Pears Diced 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC014,SDFC014.JPG,,taxable,standard-rate
Compliments Pineapple Diced 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC015,SDFC015.JPG,,taxable,standard-rate
Compliments Peaches Diced 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.99,,,,,,,SDFC016,SDFC016.JPG,,taxable,standard-rate
DelMonte Peach & Mango 112.5ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.78,,,,,,,SDFC017,SDFC017.JPG,,taxable,standard-rate
DelMonte Peach & Mandarin 112.5ml 4Pk,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.78,,,,,,,SDFC018,SDFC018.JPG,,taxable,standard-rate
DelMonte Orchard Peach 112.5ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.78,,,,,,,SDFC019,SDFC019.JPG,,taxable,standard-rate
DelMonte Fruit Salad 112.5ml 4Pk,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.78,,,,,,,SDFC020,SDFC020.JPG,,taxable,standard-rate
DelMonte Mandarins 112.5ml 4Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.78,,,,,,,SDFC021,SDFC021.JPG,,taxable,standard-rate
DelMonte Very Cherry 112.5ml 4pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.78,,,,,,,SDFC022,SDFC022.JPG,,taxable,standard-rate
DelMonte Fruit Salad 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.78,,,,,,,SDFC023,SDFC023.JPG,,taxable,standard-rate
DelMonte Very Cherry 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.78,,,,,,,SDFC024,SDFC024.JPG,,taxable,standard-rate
DelMonte Diced Peach 142ml 4Cans ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.78,,,,,,,SDFC025,SDFC025.JPG,,taxable,standard-rate
Motts Fruitsations Apple Sauce Unsweetened 90gx4Pk,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.79,,,,,,,SDFC026,SDFC026.JPG,,taxable,standard-rate
Motts Sauce Apple Fruitsations Unsweetened Strawberry 90gx4Pk,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,2.79,,,,,,,SDFC027,SDFC027.JPG,,taxable,standard-rate
Motts Strawberry Kiwi 111g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC028,SDFC028.JPG,,taxable,standard-rate
Motts Apple Strawberry 113g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC029,SDFC029.JPG,,taxable,standard-rate
Motts Blueberry Delight 111g 6pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC030,SDFC030.JPG,,taxable,standard-rate
Motts Fruitsatn Raspberry Chry StrFruit 111g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC031,SDFC031.JPG,,taxable,standard-rate
Motts Fruitsatn Apple 113g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC032,SDFC032.JPG,,taxable,standard-rate
Motts Unstw Peach Medley 111g  6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC033,SDFC033.JPG,,taxable,standard-rate
Motts Fruitsatn Pomegrannat Plus 111g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC034,SDFC034.JPG,,taxable,standard-rate
Motts Unstweetened Apple 111g 6Pk ,,,Snacks & Candies->Dried Fruit & Fruit Snacks->Fruit Cups ,,3.29,,,,,,,SDFC035,SDFC035.JPG,,taxable,standard-rate
