title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Nature Valley Crunchy Fruit Aplle Crisp 210g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB001,GCBGB001.JPG,,taxable,standard-rate
Nature Valley Crunchy Bar Oat N Honey 230g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB002,GCBGB002.JPG,,taxable,standard-rate
Nature Valley Crunchy Bar Peanut Butter 230g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB003,GCBGB003.JPG,,taxable,standard-rate
Nature Valley Crunchy Fruit Cranberry Strawberry 190g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB004,GCBGB004.JPG,,taxable,standard-rate
Nature Valley Trail Mix Bar Fruit & Nut 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB005,GCBGB005.JPG,,taxable,standard-rate
Nature Valley Granola Thins Dark Chocolate Snack 170g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB006,GCBGB006.JPG,,taxable,standard-rate
Nature Valley Sweet & Salty Almond 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB007,GCBGB007.JPG,,taxable,standard-rate
Nature Valley Trail Mix Bar Dark Chocolate 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB008,GCBGB008.JPG,,taxable,standard-rate
Nature Valley Granola Thins Peanut Butter Snacks 170g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB009,GCBGB009.JPG,,taxable,standard-rate
Nature Valley Sweet & Salty Peanut 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB010,GCBGB010.JPG,,taxable,standard-rate
Nature Valley Crunchy Bar Dark Chocolate 210g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.49,,,,,,,GCBGB011,GCBGB011.JPG,,taxable,standard-rate
Nature Valley Sweet & Salty Cashew 160g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB012,GCBGB012.JPG,,taxable,standard-rate
Nature Valley Sweet & Salty Roasted Mixd Nut 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB013,GCBGB013.JPG,,taxable,standard-rate
Nature Valley Trail Mix Bar Mixd Berry 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB014,GCBGB014.JPG,,taxable,standard-rate
Kellogg NutriGrain Superfruit Cherry Pomegranate 295g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB015,GCBGB015.JPG,,taxable,standard-rate
Kellogg NutriGrain Superfruit Strawberry Acai 295g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB016,GCBGB016.JPG,,taxable,standard-rate
Kellogg NutriGrain Soft Bakes Blueberry Muffin 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB017,GCBGB017.JPG,,taxable,standard-rate
Kellogg NutriGrain Strawberry 295g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB018,GCBGB018.JPG,,taxable,standard-rate
Kellogg NutriGrain Raspberry 295g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB019,GCBGB019.JPG,,taxable,standard-rate
Kellogg NutriGrain Mixd Berry 295g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB020,GCBGB020.JPG,,taxable,standard-rate
Kellogg NutriGrain Soft Bakes Banana Bread 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB021,GCBGB021.JPG,,taxable,standard-rate
Kellogg NutriGrain Apple Cinnamon 295g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB022,GCBGB022.JPG,,taxable,standard-rate
Kellogg Nutri Grain Bars Mixed 1180g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,10.49,,,,,,,GCBGB023,GCBGB023.JPG,,taxable,standard-rate
BettyCro Fibre1 Bar Nut Dark Chccolate 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.99,,,,,,,GCBGB024,GCBGB024.JPG,,taxable,standard-rate
BettyCro Fibre1 Bar 100 Calories Peanut Butter Chocolate 130,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.99,,,,,,,GCBGB025,GCBGB025.JPG,,taxable,standard-rate
BettyCro Fibre1 Bar Oats & Caramel 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.99,,,,,,,GCBGB026,GCBGB026.JPG,,taxable,standard-rate
BettyCro Fiber1 Bar 100 Calories Chocolate Caramel Pretzel 130g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.99,,,,,,,GCBGB027,GCBGB027.JPG,,taxable,standard-rate
BettyCro FIber1 Oats & Chocolate 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.99,,,,,,,GCBGB028,GCBGB028.JPG,,taxable,standard-rate
BettyCro Fiber1 Oats & Peanut Butter 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.99,,,,,,,GCBGB029,GCBGB029.JPG,,taxable,standard-rate
BettyCro Fiber1 Snack Bar Chocolate Strawberry 130g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.99,,,,,,,GCBGB030,GCBGB030.JPG,,taxable,standard-rate
BettyCro Fibre1 Bar Dark Chocolate Chunk 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.99,,,,,,,GCBGB031,GCBGB031.JPG,,taxable,standard-rate
BettyCro Fibre1 Bar 100Calories Chocolate 130g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.99,,,,,,,GCBGB032,GCBGB032.JPG,,taxable,standard-rate
GenMills Fibre1 Brownies Chocolate Peanut Butter 125g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.99,,,,,,,GCBGB033,GCBGB033.JPG,,taxable,standard-rate
GenMills Fibre1 Brownies Chocolatey Fudge 125g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.99,,,,,,,GCBGB034,GCBGB034.JPG,,taxable,standard-rate
