title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Ovaltine Chocolate Drink Mix 400g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.29,,,,,,,GCTHC001,GCTHC001.JPG,,taxable,standard-rate
Ovaltine Classic Malt Drink 400g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.29,,,,,,,GCTHC002,GCTHC002.JPG,,taxable,standard-rate
Tim Hortons Hot Chocolate 500g,,,Groceries->Coffee & Tea->Hot Chocolate,,4.69,,,,,,,GCTHC003,GCTHC003.JPG,,taxable,standard-rate
Nestle Carnation Rich Hot Chocolate 10pk,,,Groceries->Coffee & Tea->Hot Chocolate,,3.99,,,,,,,GCTHC009,GCTHC009.JPG,,taxable,standard-rate
Nestle Carnation Hot Chocolate with Marshmallow 10pk,,,Groceries->Coffee & Tea->Hot Chocolate,,3.99,,,,,,,GCTHC010,GCTHC010.JPG,,taxable,standard-rate
Nestle Carnation Hot Chocolate Light 10pk,,,Groceries->Coffee & Tea->Hot Chocolate,,3.99,,,,,,,GCTHC011,GCTHC011.JPG,,taxable,standard-rate
Nestle Carnation Hot Chocolate Variety Pack 10pk ,,,Groceries->Coffee & Tea->Hot Chocolate,,3.99,,,,,,,GCTHC012,GCTHC012.JPG,,taxable,standard-rate
Nestle Nesquik Less Sugar Plus Chocolate Syrup 460ml,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC013,GCTHC013.JPG,,taxable,standard-rate
Nestle Nesquik Chocolate 1/4 Less Sugar 510ml,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC014,GCTHC014.JPG,,taxable,standard-rate
Nestle Nesquik Chocolate Syrup Original 700ml,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC015,GCTHC015.JPG,,taxable,standard-rate
Nestle Nesquik Rolo Syrup 510ml,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC016,GCTHC016.JPG,,taxable,standard-rate
Nestle Nesquik Syrup Strawberry 1/4 Less Sugar 510ml,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC017,GCTHC017.JPG,,taxable,standard-rate
Nestle Nesquik Chocolate Power 1/3 Less Sugar 540g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.99,,,,,,,GCTHC018,GCTHC018.JPG,,taxable,standard-rate
Nestle Nesquik Chocolate Powder Original 750g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.99,,,,,,,GCTHC019,GCTHC019.JPG,,taxable,standard-rate
Nestle Nesquik Powder Strawberry 750g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.99,,,,,,,GCTHC020,GCTHC020.JPG,,taxable,standard-rate
Compliments Hot Chocolate Mix 500g,,,Groceries->Coffee & Tea->Hot Chocolate,,3.49,,,,,,,GCTHC021,GCTHC021.JPG,,taxable,standard-rate
Compliments Hot Chocolate Mix Marshmallows 500g,,,Groceries->Coffee & Tea->Hot Chocolate,,3.49,,,,,,,GCTHC022,GCTHC022.JPG,,taxable,standard-rate
Compliments Chocolate Milk Mix 750g,,,Groceries->Coffee & Tea->Hot Chocolate,,4.99,,,,,,,GCTHC023,GCTHC023.JPG,,taxable,standard-rate
Compliments Hot Chocolate Mix 10pk 280g,,,Groceries->Coffee & Tea->Hot Chocolate,,3.29,,,,,,,GCTHC024,GCTHC024.JPG,,taxable,standard-rate
Compliments Hot Chocolate Mix Marshmallows 10pk,,,Groceries->Coffee & Tea->Hot Chocolate,,3.29,,,,,,,GCTHC025,GCTHC025.JPG,,taxable,standard-rate
