title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Smuckers Jelly Apple 250ml,,,Groceries->Condiments & Sauces->Jam,,3.29,,,,,,,GCJ001,GCJ001.JPG,,taxable,standard-rate
Smuckers Jam Pineapple 250ml,,,Groceries->Condiments & Sauces->Jam,,3.29,,,,,,,GCJ002,GCJ002.JPG,,taxable,standard-rate
Smuckers Jam Cherry 250ml ,,,Groceries->Condiments & Sauces->Jam,,3.29,,,,,,,GCJ003,GCJ003.JPG,,taxable,standard-rate
Smuckers Jam Peach 250ml,,,Groceries->Condiments & Sauces->Jam,,3.29,,,,,,,GCJ004,GCJ004.JPG,,taxable,standard-rate
Smuckers Jam Raspbery Seedless 250ml,,,Groceries->Condiments & Sauces->Jam,,3.29,,,,,,,GCJ005,GCJ005.JPG,,taxable,standard-rate
Smuckers Jam Strawberry Seedless 250ml,,,Groceries->Condiments & Sauces->Jam,,3.29,,,,,,,GCJ006,GCJ006.JPG,,taxable,standard-rate
Smuckers Jam Strawberry Pure 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ007,GCJ007.JPG,,taxable,standard-rate
Smuckers Jam Raspberry Pure 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ008,GCJ008.JPG,,taxable,standard-rate
Smuckers Jam Wildberry 390ml ,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ009,GCJ009.JPG,,taxable,standard-rate
Smuckers Jam Strawberry No Sugar Added 310ml ,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ010,GCJ010.JPG,,taxable,standard-rate
Smuckers Jam Blueberry No Sugar Added 310ml ,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ011,GCJ011.JPG,,taxable,standard-rate
Smuckers Jam Wildberry No Sugar Added 310ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ012,GCJ012.JPG,,taxable,standard-rate
Smuckers Jam Fieldberry 390ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ013,GCJ013.JPG,,taxable,standard-rate
Smuckers Jam Summer Fruit 390ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ014,GCJ014.JPG,,taxable,standard-rate
Smuckers Jam Orange No Sugar Added 310ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ015,GCJ015.JPG,,taxable,standard-rate
Smuckers Double Fruit Jam Raspberry 390ml ,,,Groceries->Condiments & Sauces->Jam,,4.79,,,,,,,GCJ016,GCJ016.JPG,,taxable,standard-rate
Smuckers Jam Wildberry 500ml ,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ017,GCJ017.JPG,,taxable,standard-rate
Smuckers Jam Apricot 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ018,GCJ018.JPG,,taxable,standard-rate
EDSmith Jam Strawberry Lovers 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ019,GCJ019.JPG,,taxable,standard-rate
EDSmith Jam Raspberry Lovers 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ020,GCJ020.JPG,,taxable,standard-rate
EDSmith Jam Strawberry Raspberry Plum 375ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ021,GCJ021.JPG,,taxable,standard-rate
EDSmith Jam Raspberry Strawberry Blackberry 375ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ022,GCJ022.JPG,,taxable,standard-rate
EDSmith Jam Raspberry Strawberry Blackberry 500ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ023,GCJ023.JPG,,taxable,standard-rate
EDSmith Jam Strawberry Raspberry Plum 500ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ024,GCJ024.JPG,,taxable,standard-rate
EDSmith Jam Wildberry 500ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ025,GCJ025.JPG,,taxable,standard-rate
EDSmith Jam Apricot Peach Passion Fruit 500ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ026,GCJ026.JPG,,taxable,standard-rate
EDSmith Fruit Levers Jam Strawberry 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ027,GCJ027.JPG,,taxable,standard-rate
