title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Hellmann's Real Mayonnaise 445ml,,,Groceries->Condiments & Sauces->Mayonnaise,,4.79,,,,,,,GCSM001,GCSM001.JPG,,taxable,standard-rate
Hellmann's Olive Oil Mayonnaise 750ml,,,Groceries->Condiments & Sauces->Mayonnaise,,5.29,,,,,,,GCSM002,GCSM002.JPG,,taxable,standard-rate
Hellmann's Olive Oil Mayonnaise 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,5.29,,,,,,,GCSM003,GCSM003.JPG,,taxable,standard-rate
Hellmann's Light Olive Oil Mayonnaise 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,5.29,,,,,,,GCSM004,GCSM004.JPG,,taxable,standard-rate
Hellmann's 1/2 Fat Mayonnaise 750ml,,,Groceries->Condiments & Sauces->Mayonnaise,,5.29,,,,,,,GCSM005,GCSM005.JPG,,taxable,standard-rate
Hellmann's 1/2 Fat Mayonnaise 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,5.29,,,,,,,GCSM006,GCSM006.JPG,,taxable,standard-rate
Hellmann's Real Mayonnaise 750ml,,,Groceries->Condiments & Sauces->Mayonnaise,,5.29,,,,,,,GCSM007,GCSM007.JPG,,taxable,standard-rate
Hellmann's Real Mayonnaise 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,5.29,,,,,,,GCSM008,GCSM008.JPG,,taxable,standard-rate
Kraft Miracle Whip Original 475ml,,,Groceries->Condiments & Sauces->Mayonnaise,,3.49,,,,,,,GCSM009,GCSM009.JPG,,taxable,standard-rate
Kraft Miracle Whip Original 650ml,,,Groceries->Condiments & Sauces->Mayonnaise,,4.49,,,,,,,GCSM010,GCSM010.JPG,,taxable,standard-rate
Kraft Miracle Whip Original 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,4.79,,,,,,,GCSM011,GCSM011.JPG,,taxable,standard-rate
Kraft Miracle Whip Olive Oil 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,5.49,,,,,,,GCSM012,GCSM012.JPG,,taxable,standard-rate
Kraft Miracle Whip Calorie Wise 750ml,,,Groceries->Condiments & Sauces->Mayonnaise,,4.49,,,,,,,GCSM013,GCSM013.JPG,,taxable,standard-rate
Kraft Miracle Whip Calorie Wise 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,4.79,,,,,,,GCSM014,GCSM014.JPG,,taxable,standard-rate
Kraft Miracle Whip Fat Free 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,4.79,,,,,,,GCSM015,GCSM015.JPG,,taxable,standard-rate
Hellmann's Real Mayonnaise 1.42L,,,Groceries->Condiments & Sauces->Mayonnaise,,7.99,,,,,,,GCSM016,GCSM016.JPG,,taxable,standard-rate
Hellmann's 1/2 Fat Mayonnaise 1.42L,,,Groceries->Condiments & Sauces->Mayonnaise,,7.99,,,,,,,GCSM017,GCSM017.JPG,,taxable,standard-rate
Kraft Miracle Whip Original 1.5L,,,Groceries->Condiments & Sauces->Mayonnaise,,7.99,,,,,,,GCSM018,GCSM018.JPG,,taxable,standard-rate
Compliments Real Mayonnaise 445ml,,,Groceries->Condiments & Sauces->Mayonnaise,,2.49,,,,,,,GCSM019,GCSM019.JPG,,taxable,standard-rate
Compliments Balance Whipped Dressing Mayonnaise 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,3.99,,,,,,,GCSM020,GCSM020.JPG,,taxable,standard-rate
Compliments Real Mayonnaise 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,3.99,,,,,,,GCSM021,GCSM021.JPG,,taxable,standard-rate
Compliments Whipped Dressing 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,3.49,,,,,,,GCSM022,GCSM022.JPG,,taxable,standard-rate
Compliments Olive Oil Mayonnaise 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,3.99,,,,,,,GCSM023,GCSM023.JPG,,taxable,standard-rate
Compliments Balance Whipped Dressing 890ml,,,Groceries->Condiments & Sauces->Mayonnaise,,3.49,,,,,,,GCSM024,GCSM024.JPG,,taxable,standard-rate
