title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
OceanSpray Cranberry Cocktail with Lime 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS001,BJOS001.JPG,,taxable,standard-rate
OceanSpray 100% Citrus Mango Pineapple 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS002,BJOS002.JPG,,taxable,standard-rate
OceanSpray 100% Juice Ruby Red Grapefruit 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS003,BJOS003.JPG,,taxable,standard-rate
OceanSpray Cocktail Ruby Red Grapefruit 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS004,BJOS004.JPG,,taxable,standard-rate
OceanSpray Juice Cranberry 100% 1.89L,,,Beverages->Juice->OceanSpray,,4.79,,,,,,,BJOS005,BJOS005.JPG,,taxable,standard-rate
OceanSpray Cocktail Cranberry 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS006,BJOS006.JPG,,taxable,standard-rate
OceanSpray Cocktail Cranberry Light 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS007,BJOS007.JPG,,taxable,standard-rate
OceanSpray Cranberry Diet 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS008,BJOS008.JPG,,taxable,standard-rate
OceanSpray Cocktail Cranberry Cherry 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS009,BJOS009.JPG,,taxable,standard-rate
OceanSpray Juice Cranberry Cherry Diet 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS010,BJOS010.JPG,,taxable,standard-rate
OceanSpray Cranberry Raspberry 100% 1.89L,,,Beverages->Juice->OceanSpray,,4.79,,,,,,,BJOS011,BJOS011.JPG,,taxable,standard-rate
OceanSpray Juice Cranberry Raspberry 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS012,BJOS012.JPG,,taxable,standard-rate
OceanSpray Juice Cranberry Raspberry Low Calorie 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS013,BJOS013.JPG,,taxable,standard-rate
OceanSpray Cocktail Pomegranate Cranberry 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS014,BJOS014.JPG,,taxable,standard-rate
OceanSpray Cranberry Pomegranate Diet 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS015,BJOS015.JPG,,taxable,standard-rate
OceanSpray Cranberry Pomegranate 100% 1.89L,,,Beverages->Juice->OceanSpray,,4.79,,,,,,,BJOS016,BJOS016.JPG,,taxable,standard-rate
OceanSpray Cranberry Grape 100% 1.89L,,,Beverages->Juice->OceanSpray,,4.79,,,,,,,BJOS017,BJOS017.JPG,,taxable,standard-rate
OceanSpray Juice Cranberry Grape 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS018,BJOS018.JPG,,taxable,standard-rate
OceanSpray Juice Cranberry Grape Low Calorie 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS019,BJOS019.JPG,,taxable,standard-rate
OceanSpray Blueberry Cocktail 1.89L,,,Beverages->Juice->OceanSpray,,4.29,,,,,,,BJOS020,BJOS020.JPG,,taxable,standard-rate
OceanSpray Cranberry 100% 295ml 6Pk ,,,Beverages->Juice->OceanSpray,,4.49,,,,,,,BJOS021,BJOS021.JPG,,taxable,standard-rate
OceanSpray Cranberry Cocktail 295ml 6PK ,,,Beverages->Juice->OceanSpray,,4.49,,,,,,,BJOS022,BJOS022.JPG,,taxable,standard-rate
OceanSpray Drink Cranberry Diet 295ml 6Pk ,,,Beverages->Juice->OceanSpray,,4.49,,,,,,,BJOS023,BJOS023.JPG,,taxable,standard-rate
