title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
PaperChf Parch Cking Bags 10EA,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF001,HHPF001.JPG,,taxable,standard-rate
Glad Cling Wrap 30m,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.86,,,,,,,HHPF002,HHPF002.JPG,,taxable,standard-rate
Glad Cling Wrap 90m,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,4.99,,,,,,,HHPF003,HHPF003.JPG,,taxable,standard-rate
Glad Cling Wrap 60m,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF004,HHPF004.JPG,,taxable,standard-rate
Glad Press n Seal Wrap ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF005,HHPF005.JPG,,taxable,standard-rate
Glad Cling Wrap 152m ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,7.99,,,,,,,HHPF006,HHPF006.JPG,,taxable,standard-rate
Glad Zipper Storage bags Medium 50Bags,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF007,HHPF007.JPG,,taxable,standard-rate
Glad Zipper Storage bags Large 20Bags,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.58,,,,,,,HHPF008,HHPF008.JPG,,taxable,standard-rate
Glad Zipper Storage Bags Large 40Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF009,HHPF009.JPG,,taxable,standard-rate
Glad Sandwich Bag Zipper 100bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,4.39,,,,,,,HHPF010,HHPF010.JPG,,taxable,standard-rate
Glad Bag Sandwich Lock Reclsable 50bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.49,,,,,,,HHPF011,HHPF011.JPG,,taxable,standard-rate
Glad Sandwich Bag lock Reclsable 20bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.99,,,,,,,HHPF012,HHPF012.JPG,,taxable,standard-rate
Glad Storage Bag Zipper Medium 30Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.99,,,,,,,HHPF013,HHPF013.JPG,,taxable,standard-rate
Glad Bag Freezer Zipper Large 15bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.99,,,,,,,HHPF014,HHPF014.JPG,,taxable,standard-rate
Glad Bag Freezer Zipper Large 30Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF015,HHPF015.JPG,,taxable,standard-rate
Glad Zipper Freezer Bag Medium 40Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF016,HHPF016.JPG,,taxable,standard-rate
Glad Lunch Bags 25bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.29,,,,,,,HHPF017,HHPF017.JPG,,taxable,standard-rate
Compliments Plastic Wrap 30m,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,1.79,,,,,,,HHPF018,HHPF018.JPG,,taxable,standard-rate
Compliments Plastic Wrap 90m,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.99,,,,,,,HHPF019,HHPF019.JPG,,taxable,standard-rate
Compliments Sandwich Resealable Bags 100Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.99,,,,,,,HHPF020,HHPF020.JPG,,taxable,standard-rate
Compliments Freezer Bag Resealable Medium 75Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF021,HHPF021.JPG,,taxable,standard-rate
Compliments Snack Resealable 75Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.79,,,,,,,HHPF022,HHPF022.JPG,,taxable,standard-rate
Compliments Freezer Bag Resealable Medium 20Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.49,,,,,,,HHPF023,HHPF023.JPG,,taxable,standard-rate
Compliments Freezer Resealable Large 12Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.49,,,,,,,HHPF024,HHPF024.JPG,,taxable,standard-rate
Compliments Resealable Freezer Bag Large 60Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF025,HHPF025.JPG,,taxable,standard-rate
Compliments Lunch Bags 50Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.69,,,,,,,HHPF026,HHPF026.JPG,,taxable,standard-rate
Compliments Waxed Paper 30.5m,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.69,,,,,,,HHPF027,HHPF027.JPG,,taxable,standard-rate
Ziploc Bag Sandwich 100Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF028,HHPF028.JPG,,taxable,standard-rate
Ziploc Bag Snack 75Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.69,,,,,,,HHPF029,HHPF029.JPG,,taxable,standard-rate
Ziploc Freezer Bag Value Pk Large 30Bags,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,6.99,,,,,,,HHPF030,HHPF030.JPG,,taxable,standard-rate
Ziploc Freezer Bags Value Pk Medium 40Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,6.99,,,,,,,HHPF031,HHPF031.JPG,,taxable,standard-rate
