title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Nestle Spring Water Minis 330ml 12k ,,,Beverages->Water->Spring Water,,3.49,,,,,,,BWSW001,BWSW001.JPG,,non-taxable,zero-rate
Nestle Spring Water 1.5L ,,,Beverages->Water->Spring Water,,1.29,,,,,,,BWSW002,BWSW002.JPG,,non-taxable,zero-rate
Nestle Spring Water 500ml 12Pk ,,,Beverages->Water->Spring Water,,3.29,,,,,,,BWSW003,BWSW003.JPG,,non-taxable,zero-rate
Nestle Spring Water 500ml 24Pk ,,,Beverages->Water->Spring Water,,4.99,,,,,,,BWSW005,BWSW005.JPG,,non-taxable,zero-rate
Glaceau Smart Water 591ml ,,,Beverages->Water->Spring Water,,1.99,,,,,,,BWSW006,BWSW006.JPG,,non-taxable,zero-rate
Glaceau Smart Water 1L,,,Beverages->Water->Spring Water,,2.79,,,,,,,BWSW007,BWSW007.JPG,,non-taxable,zero-rate
Evian Spring Water 1L,,,Beverages->Water->Spring Water,,1.99,,,,,,,BWSW008,BWSW008.JPG,,non-taxable,zero-rate
Evian Spring Water 1.5L ,,,Beverages->Water->Spring Water,,2.99,,,,,,,BWSW009,BWSW009.JPG,,non-taxable,zero-rate
Evian Spring Water 1L 6Pk ,,,Beverages->Water->Spring Water,,10.99,,,,,,,BWSW010,BWSW010.JPG,,non-taxable,zero-rate
Aquafina Deminrlzd Water 1.5L ,,,Beverages->Water->Spring Water,,2.49,,,,,,,BWSW012,BWSW012.JPG,,non-taxable,zero-rate
Aquafina Deminrlzd Water 710ml 6Pk ,,,Beverages->Water->Spring Water,,4.79,,,,,,,BWSW013,BWSW013.JPG,,non-taxable,zero-rate
Aquafina Deminrlzd Water 500ml 12Pk ,,,Beverages->Water->Spring Water,,5.29,,,,,,,BWSW014,BWSW014.JPG,,non-taxable,zero-rate
Dasani Mineral Water 1.5L,,,Beverages->Water->Spring Water,,1.99,,,,,,,BWSW015,BWSW015.JPG,,non-taxable,zero-rate
Dasani Mineral Water 710ml 6Pk ,,,Beverages->Water->Spring Water,,4.49,,,,,,,BWSW016,BWSW016.JPG,,non-taxable,zero-rate
Montclair Spring Water 1.5L,,,Beverages->Water->Spring Water,,1.29,,,,,,,BWSW017,BWSW017.JPG,,non-taxable,zero-rate
Montclair Spring Water 500ml 12Pk ,,,Beverages->Water->Spring Water,,3.99,,,,,,,BWSW018,BWSW018.JPG,,non-taxable,zero-rate
SanBeneDetto Carbonated Mineral Water 1.5L,,,Beverages->Water->Spring Water,,1.49,,,,,,,BWSW019,BWSW019.JPG,,non-taxable,zero-rate
SanBeneDetto Natural Mineral Water 1.5L,,,Beverages->Water->Spring Water,,1.49,,,,,,,BWSW020,BWSW020.JPG,,non-taxable,zero-rate
SanBeneDetto Natural Water 1.5L 6Pk ,,,Beverages->Water->Spring Water,,7.99,,,,,,,BWSW021,BWSW021.JPG,,non-taxable,zero-rate
Acqua Panna Natuaral Water 1L,,,Beverages->Water->Spring Water,,1.99,,,,,,,BWSW022,BWSW022.JPG,,non-taxable,zero-rate
FiJi Natural Spring Water 1L ,,,Beverages->Water->Spring Water,,2.49,,,,,,,BWSW023,BWSW023.JPG,,non-taxable,zero-rate
FiJi Natural Spring Water 500ml 6Pk ,,,Beverages->Water->Spring Water,,7.79,,,,,,,BWSW024,BWSW024.JPG,,non-taxable,zero-rate
Compliments Natural Spring Water 4L ,,,Beverages->Water->Spring Water,,1.59,,,,,,,BWSW025,BWSW025.JPG,,non-taxable,zero-rate
Compliments Distilled Water 4L,,,Beverages->Water->Spring Water,,1.59,,,,,,,BWSW026,BWSW026.JPG,,non-taxable,zero-rate
Compliments Natural Spring Water 1.5L ,,,Beverages->Water->Spring Water,,1.29,,,,,,,BWSW027,BWSW027.JPG,,non-taxable,zero-rate
Compliments Natural Spring Water 500ml 12Pk ,,,Beverages->Water->Spring Water,,2.79,,,,,,,BWSW028,BWSW028.JPG,,non-taxable,zero-rate
Compliments Natural Spring Water 500ml 24Pk ,,,Beverages->Water->Spring Water,,3.99,,,,,,,BWSW029,BWSW029.JPG,,non-taxable,zero-rate
