title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Method Sea Minerals Hand Wash 354ml,,,Home & Lifestyle->Personal Care->Hand Wash,,4.49,,,,,,,HLPCHW001,HLPCHW001.JPG,,taxable,standard-rate
Method Sweet Water Hand Wash 354ml,,,Home & Lifestyle->Personal Care->Hand Wash,,4.49,,,,,,,HLPCHW002,HLPCHW002.JPG,,taxable,standard-rate
Method Green Tea + Aloe Hand Wash 354ml,,,Home & Lifestyle->Personal Care->Hand Wash,,4.49,,,,,,,HLPCHW003,HLPCHW003.JPG,,taxable,standard-rate
Lysol No-Touch Hydrating Cucumber Splash Refill Hand Soap 251ml,,,Home & Lifestyle->Personal Care->Hand Wash,,4.99,,,,,,,HLPCHW004,HLPCHW004.JPG,,taxable,standard-rate
Lysol No-Touch Vanilla & Brown Sugar Refill Hand Soap 251ml,,,Home & Lifestyle->Personal Care->Hand Wash,,4.99,,,,,,,HLPCHW005,HLPCHW005.JPG,,taxable,standard-rate
Lysol No-Touch Refreshing Essence Refill Hand Soap 251ml,,,Home & Lifestyle->Personal Care->Hand Wash,,4.99,,,,,,,HLPCHW006,HLPCHW006.JPG,,taxable,standard-rate
Lysol No-Touch Moistrurizing Aloe Vera & Vitamin E Refill Hand Soap 251ml,,,Home & Lifestyle->Personal Care->Hand Wash,,4.99,,,,,,,HLPCHW007,HLPCHW007.JPG,,taxable,standard-rate
Lysol No-Touch Refreshing Aloe Vera Hand Soap System,,,Home & Lifestyle->Personal Care->Hand Wash,,14.99,,,,,,,HLPCHW008,HLPCHW008.JPG,,taxable,standard-rate
Lysol No-Touch Soothing Cucumber Hand Soap System,,,Home & Lifestyle->Personal Care->Hand Wash,,14.99,,,,,,,HLPCHW009,HLPCHW009.JPG,,taxable,standard-rate
Compliments Hand Sanitizer Gel 236ml,,,Home & Lifestyle->Personal Care->Hand Wash,,3.49,,,,,,,HLPCHW010,HLPCHW010.JPG,,taxable,standard-rate
One Step Hand Sanitizer with Aloe 473ml,,,Home & Lifestyle->Personal Care->Hand Wash,,6.99,,,,,,,HLPCHW011,HLPCHW011.JPG,,taxable,standard-rate
Wet Ones Hand & Face Wipes Gently Cleans Skin 40wipes,,,Home & Lifestyle->Personal Care->Hand Wash,,3.99,,,,,,,HLPCHW012,HLPCHW012.JPG,,taxable,standard-rate
Wet Ones Hand & Face Wipes Kills Germs 40wipes,,,Home & Lifestyle->Personal Care->Hand Wash,,3.99,,,,,,,HLPCHW013,HLPCHW013.JPG,,taxable,standard-rate
