title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
ItalPasta Acini Di Pepe 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP001,GPSP001.JPG,,taxable,standard-rate 
ItalPasta Orzo 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP002,GPSP002.JPG,,taxable,standard-rate 
ItalPasta Vermicelli 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP003,GPSP003.JPG,,taxable,standard-rate 
ItalPasta Fettuccine 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP004,GPSP004.JPG,,taxable,standard-rate 
ItalPasta Linguine 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP005,GPSP005.JPG,,taxable,standard-rate 
ItalPasta Spaghettini 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP006,GPSP006.JPG,,taxable,standard-rate 
ItalPasta Scoobi Do 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP007,GPSP007.JPG,,taxable,standard-rate 
ItalPasta Ditali 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP008,GPSP008.JPG,,taxable,standard-rate 
ItalPasta Macaroni Elbows 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP009,GPSP009.JPG,,taxable,standard-rate 
ItalPasta Capellini 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP010,GPSP010.JPG,,taxable,standard-rate 
ItalPasta Baby Shells 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP011,GPSP011.JPG,,taxable,standard-rate 
ItalPasta Penne Lisce 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP012,GPSP012.JPG,,taxable,standard-rate 
ItalPasta Penne Rigate 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP013,GPSP013.JPG,,taxable,standard-rate 
ItalPasta Rigate Pennine 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP014,GPSP014.JPG,,taxable,standard-rate 
ItalPasta Fusilli 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP015,GPSP015.JPG,,taxable,standard-rate 
ItalPasta Large Shells 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP016,GPSP016.JPG,,taxable,standard-rate 
ItalPasta Small Shells 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP017,GPSP017.JPG,,taxable,standard-rate 
ItalPasta Gocchi 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP018,GPSP018.JPG,,taxable,standard-rate 
ItalPasta Bocconcini 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP019,GPSP019.JPG,,taxable,standard-rate 
ItalPasta Rotini 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP020,GPSP020.JPG,,taxable,standard-rate 
ItalPasta Rigatoni 900g,,,Groceries->Pasta & Sauce->Pasta,,2.39,,,,,,,GPSP021,GPSP021.JPG,,taxable,standard-rate 
Compliments Spaghetti 900g,,,Groceries->Pasta & Sauce->Pasta,,1.99,,,,,,,GPSP022,GPSP022.JPG,,taxable,standard-rate 
Compliments Linguine 900g,,,Groceries->Pasta & Sauce->Pasta,,1.99,,,,,,,GPSP023,GPSP023.JPG,,taxable,standard-rate 
Compliments Fettuccini 900g,,,Groceries->Pasta & Sauce->Pasta,,1.99,,,,,,,GPSP024,GPSP024.JPG,,taxable,standard-rate 
Compliments Elbow Macaroni Coudes 900g,,,Groceries->Pasta & Sauce->Pasta,,1.99,,,,,,,GPSP025,GPSP025.JPG,,taxable,standard-rate 
Compliments Penne Rigate 900g,,,Groceries->Pasta & Sauce->Pasta,,1.99,,,,,,,GPSP026,GPSP026.JPG,,taxable,standard-rate 
Compliments Penne Lisce 900g,,,Groceries->Pasta & Sauce->Pasta,,1.99,,,,,,,GPSP027,GPSP027.JPG,,taxable,standard-rate 
Compliments Small Shells 900g,,,Groceries->Pasta & Sauce->Pasta,,1.99,,,,,,,GPSP028,GPSP028.JPG,,taxable,standard-rate 
Compliments Fusilli 900g,,,Groceries->Pasta & Sauce->Pasta,,1.99,,,,,,,GPSP029,GPSP029.JPG,,taxable,standard-rate 
Compliments Rigatoni 900g,,,Groceries->Pasta & Sauce->Pasta,,1.99,,,,,,,GPSP030,GPSP030.JPG,,taxable,standard-rate 
Compliments Rotini 900g,,,Groceries->Pasta & Sauce->Pasta,,1.99,,,,,,,GPSP031,GPSP031.JPG,,taxable,standard-rate 
ItalPasta Whole Grain Lasagne 375g,,,Groceries->Pasta & Sauce->Pasta,,3.29,,,,,,,GPSP032,GPSP032.JPG,,taxable,standard-rate 
ItalPasta Spinach Lasagne 375g,,,Groceries->Pasta & Sauce->Pasta,,3.29,,,,,,,GPSP033,GPSP033.JPG,,taxable,standard-rate 
ItalPasta Lasagne 500g,,,Groceries->Pasta & Sauce->Pasta,,2.49,,,,,,,GPSP034,GPSP034.JPG,,taxable,standard-rate 
ItalPasta Presto Lasagne 375g,,,Groceries->Pasta & Sauce->Pasta,,3.29,,,,,,,GPSP035,GPSP035.JPG,,taxable,standard-rate 
ItalPasta Egg Lasagne 500g,,,Groceries->Pasta & Sauce->Pasta,,3.29,,,,,,,GPSP036,GPSP036.JPG,,taxable,standard-rate 
ItalPasta Jumbo Shells 340g,,,Groceries->Pasta & Sauce->Pasta,,3.29,,,,,,,GPSP037,GPSP037.JPG,,taxable,standard-rate 
ItalPasta Presto Cannelloni 250g,,,Groceries->Pasta & Sauce->Pasta,,2.79,,,,,,,GPSP038,GPSP038.JPG,,taxable,standard-rate 
ItalPasta Total Spaghettini 375g,,,Groceries->Pasta & Sauce->Pasta,,2.29,,,,,,,GPSP039,GPSP039.JPG,,taxable,standard-rate 
ItalPasta Total Elbows 375g,,,Groceries->Pasta & Sauce->Pasta,,2.29,,,,,,,GPSP040,GPSP040.JPG,,taxable,standard-rate 
ItalPasta Total Penne Rigate 375g,,,Groceries->Pasta & Sauce->Pasta,,2.29,,,,,,,GPSP041,GPSP041.JPG,,taxable,standard-rate 
ItalPasta Gluten Free Penne Rigate 340g,,,Groceries->Pasta & Sauce->Pasta,,2.99,,,,,,,GPSP042,GPSP042.JPG,,taxable,standard-rate 
ItalPasta Gluten Free Fusilli 340g,,,Groceries->Pasta & Sauce->Pasta,,2.99,,,,,,,GPSP043,GPSP043.JPG,,taxable,standard-rate 
ItalPasta Gluten Free Spaghetti 340g,,,Groceries->Pasta & Sauce->Pasta,,2.99,,,,,,,GPSP044,GPSP044.JPG,,taxable,standard-rate 
Catelli Smart Lasagne 375g,,,Groceries->Pasta & Sauce->Pasta,,3.49,,,,,,,GPSP045,GPSP045.JPG,,taxable,standard-rate 
Catelli Healthy Harvest Lasagne 375g,,,Groceries->Pasta & Sauce->Pasta,,3.49,,,,,,,GPSP046,GPSP046.JPG,,taxable,standard-rate 
Catelli Healthy Harvest Bows 300g,,,Groceries->Pasta & Sauce->Pasta,,2.49,,,,,,,GPSP047,GPSP047.JPG,,taxable,standard-rate 
Catelli Bistro Spaghettini 375g,,,Groceries->Pasta & Sauce->Pasta,,2.49,,,,,,,GPSP048,GPSP048.JPG,,taxable,standard-rate 
Catelli Smart Spaghettini 375g,,,Groceries->Pasta & Sauce->Pasta,,2.49,,,,,,,GPSP049,GPSP049.JPG,,taxable,standard-rate 
Catelli Smart Fettuccine 375g,,,Groceries->Pasta & Sauce->Pasta,,2.49,,,,,,,GPSP050,GPSP050.JPG,,taxable,standard-rate 
Catelli Healthy Harvest Spaghettini 375g,,,Groceries->Pasta & Sauce->Pasta,,2.49,,,,,,,GPSP051,GPSP051.JPG,,taxable,standard-rate 
Catelli Healthy Harvest Omega-3 Spaghettini 300g,,,Groceries->Pasta & Sauce->Pasta,,2.49,,,,,,,GPSP052,GPSP052.JPG,,taxable,standard-rate 
Catelli Healthy Harvest Linguine 375g,,,Groceries->Pasta & Sauce->Pasta,,2.49,,,,,,,GPSP053,GPSP053.JPG,,taxable,standard-rate 
Catelli Bistro Rainbows 375g,,,Groceries->Pasta & Sauce->Pasta,,2.49,,,,,,,GPSP054,GPSP054.JPG,,taxable,standard-rate 
Catelli Smart Spahetti 375g,,,Groceries->Pasta & Sauce->Pasta,,2.49,,,,,,,GPSP055,GPSP055.JPG,,taxable,standard-rate 
Catelli Smart Linguine 375g,,,Groceries->Pasta & Sauce->Pasta,,2.49,,,,,,,GPSP056,GPSP056.JPG,,taxable,standard-rate 
