title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
SnackPack Juicy Gels Cherry/Lemon Lime 4pk,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP001,SPP001.JPG,,taxable,standard-rate
SnackPack Juicy Gels Raspberry/Mix Berry 4pk,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP002,SPP002.JPG,,taxable,standard-rate
SnackPack Juicy Gels Strawberry Reduced Sugar 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP003,SPP003.JPG,,taxable,standard-rate
SnackPack Juicy Gels Strawberry/Orange Reduced Sugar 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP004,SPP004.JPG,,taxable,standard-rate
SnackPack Pudding Chocolate No Sugar Added 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP005,SPP005.JPG,,taxable,standard-rate
SnackPack Pudding Chocolate Fat Free 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP006,SPP006.JPG,,taxable,standard-rate
SnackPack Pudding Chocalate 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP007,SPP007.JPG,,taxable,standard-rate
SnackPack Swirls Chocolate & Vanilla 4pk,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP008,SPP008.JPG,,taxable,standard-rate
SnackPack Swirls Chocolate Caramel 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP009,SPP009.JPG,,taxable,standard-rate
SnackPack Pudding Vanilla Fat Free 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP010,SPP010.JPG,,taxable,standard-rate
SnackPack Pudding Vanilla No Sugar Added 4pk,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP011,SPP011.JPG,,taxable,standard-rate
SnackPack Pudding Vanilla 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP012,SPP012.JPG,,taxable,standard-rate
SnackPack Pudding Lemon Meringue Pie 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP013,SPP013.JPG,,taxable,standard-rate
SnackPack Pudding Banana Cream Pie 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP014,SPP014.JPG,,taxable,standard-rate
SnackPack Pudding Tapioca 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP015,SPP015.JPG,,taxable,standard-rate
SnackPack Pudding Chocolate Fudge 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP016,SPP016.JPG,,taxable,standard-rate
SnackPack Pudding Butterscotch 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,2.29,,,,,,,SPP017,SPP017.JPG,,taxable,standard-rate
Compliments Pudding Strawberry Banana Flavoured 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP018,SPP018.JPG,,taxable,standard-rate
Compliments Pudding Banana Flavoured 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP019,SPP019.JPG,,taxable,standard-rate
Compliments Pudding Tapioca 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP020,SPP020.JPG,,taxable,standard-rate
Compliments Pudding Chocolate 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP021,SPP021.JPG,,taxable,standard-rate
Compliments Pudding Chocolate Fat Free 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP022,SPP022.JPG,,taxable,standard-rate
Compliments Pudding Vanilla Flavoured 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP023,SPP023.JPG,,taxable,standard-rate
Compliments Pudding Butterscotch Flavoured 4pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,1.49,,,,,,,SPP024,SPP024.JPG,,taxable,standard-rate
Compliments Pudding Club Pack 12pk ,,,Snacks & Candies->Pudding & Jello->Pudding ,,3.79,,,,,,,SPP025,SPP025.JPG,,taxable,standard-rate
