title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Naval Orange,,,Food->Fruits,,0.79,,,0.7lb/ea,,,,ff001,naval_orange.jpg,orange,taxable,zero-rate
Lemon,,,Food->Fruits,,0.99,,,ea,,,,ff002,lemon.jpg,orange,taxable,zero-rate
Lime,,,Food->Fruits,,0.69,,,ea,,,,ff003,lime.jpg,orange,taxable,zero-rate
Red Grapefruit,,,Food->Fruits,,1.19,,,ea,,,,ff004,red_grapefruit.jpg,berry|grape,taxable,zero-rate
Pomelo,,,Food->Fruits,,3.49,,,ea,,,,ff005,pomelo.jpg,berry|grape,taxable,zero-rate
Red Delicious Apple,,,Food->Fruits,,0.79,,,0.4lb/ea,,,,ff006,red_delicious_apple.jpg,apple|pear,taxable,zero-rate
McIntosh Apple,,,Food->Fruits,,0.79,,,0.4lb/ea,,,,ff007,mcintosh_apple.jpg,apple|pear,taxable,zero-rate
Jazz Apple,,,Food->Fruits,,0.99,,,0.4lb/ea,,,,ff008,jazz_apple.jpg,apple|pear,taxable,zero-rate
Granny Smith Apple,,,Food->Fruits,,0.79,,,0.4lb/ea,,,,ff009,granny_smith_apple.jpg,apple|pear,taxable,zero-rate
Fuji Apple,,,Food->Fruits,,0.79,,,0.4lb/ea,,,,ff010,fuji_apple.jpg,apple|pear,taxable,zero-rate
Gala Apple,,,Food->Fruits,,0.79,,,0.4lb/ea,,,,ff011,gala_apple.jpg,apple|pear,taxable,zero-rate
Blueberry,,,Food->Fruits,,3.49,,,ea,,,,ff012,blueberry.jpg,berry|grape,taxable,zero-rate
Blackberry,,,Food->Fruits,,2.99,,,ea,,,,ff013,blackberry.jpg,berry|grape,taxable,zero-rate
Raspberry,,,Food->Fruits,,3.49,,,ea,,,,ff014,raspberry.jpg,berry|grape,taxable,zero-rate
Strawberry,,,Food->Fruits,,3.99,,,ea,,,,ff015,strawberry.jpg,berry|grape,taxable,zero-rate
Cherry,,,Food->Fruits,,7.99,,,1.5lb/bag,,,,ff016,cherry.jpg,berry|grape,taxable,zero-rate
Red Globe Grape,,,Food->Fruits,,5.49,,,1.5lb/bag,,,,ff017,red_globe_grape.jpg,berry|grape,taxable,zero-rate
Green Seedless Grape,,,Food->Fruits,,5.49,,,1.5lb/bag,,,,ff018,green_seedless_grape.jpg,berry|grape,taxable,zero-rate
Anjou Pear,,,Food->Fruits,,0.79,,,ea,,,,ff019,anjou_pear.jpg,apple|pear,taxable,zero-rate
Yellow Asian Pear,,,Food->Fruits,,0.79,,,ea,,,,ff020,yellow_asian_pear.jpg,apple|pear,taxable,zero-rate
Barlett Pear,,,Food->Fruits,,0.79,,,ea,,,,ff021,barlett_pear.jpg,apple|pear,taxable,zero-rate
Mini Watermelon,,,Food->Fruits,,4.49,,,ea,,,,ff022,mini_watermelon.jpg,melon|mango,taxable,zero-rate
Cantaloupe,,,Food->Fruits,,4.49,,,ea,,,,ff023,cantaloupe.jpg,melon|mango,taxable,zero-rate
Honeydew Melon,,,Food->Fruits,,5.49,,,ea,,,,ff024,honeydew_melon.jpg,melon|mango,taxable,zero-rate
Red Mango,,,Food->Fruits,,1.99,,,ea,,,,ff025,red_mango.jpg,melon|mango,taxable,zero-rate
Avocado,,,Food->Fruits,,0.69,,,ea,,,,ff026,avocado.jpg,melon|mango,taxable,zero-rate
Ataulfo Mango,,,Food->Fruits,,0.99,,,ea,,,,ff027,ataulfo_mango.jpg,melon|mango,taxable,zero-rate
Red Plum,,,Food->Fruits,,0.99,,,ea,,,,ff028,red_plum.jpg,melon|mango,taxable,zero-rate
Yellow Plum,,,Food->Fruits,,0.49,,,ea,,,,ff029,yellow_plum.jpg,melon|mango,taxable,zero-rate
Yellow Peach,,,Food->Fruits,,0.49,,,ea,,,,ff030,yellow_peach.jpg,melon|mango,taxable,zero-rate
Yellow Nectarine,,,Food->Fruits,,0.89,,,ea,,,,ff031,yellow_nectarine.jpg,melon|mango,taxable,zero-rate
Plantain,,,Food->Fruits,,0.89,,,ea,,,,ff032,plantain.jpg,banana,taxable,zero-rate
Kiwi,,,Food->Fruits,,0.59,,,ea,,,,ff033,kiwi.jpg,banana,taxable,zero-rate
Papaya,,,Food->Fruits,,4.59,,,ea,,,,ff034,papaya.jpg,banana,taxable,zero-rate
Coconut,,,Food->Fruits,,3.99,,,ea,,,,ff035,coconut.jpg,banana,taxable,zero-rate
Golden Pineapple,,,Food->Fruits,,4.49,,,ea,,,,ff036,golden_pineapple.jpg,banana,taxable,zero-rate
Grape Tomato,,,Food->Fruits,,3.49,,,ea,,,,ff037,grape_tomato.jpg,banana,taxable,zero-rate
Banana,,,Food->Fruits,,0.39,,,ea,,,,ff038,banana.jpg,banana,taxable,zero-rate
Cored Pineapple,,,Food->Fruits,,4.49,,,ea,,,,ff039,cored_pineapple.jpg,banana,taxable,zero-rate
