title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Coca-Cola Classic 355ml,,,Beverage->pop,,0.59,,,,,,,bp001,bp001.jpg,,taxable,standard-rate
Coca-Cola Classic Bottle 2L,,,Beverage->pop,,2.29,,,,,,,bp002,bp002.jpg,,taxable,standard-rate
Coca-Cola Zero 355ml,,,Beverage->pop,,0.59,,,,,,,bp003,bp003.jpg,,taxable,standard-rate
Coca-Cola Zero Bottle 2L,,,Beverage->pop,,2.29,,,,,,,bp004,bp004.jpg,,taxable,standard-rate
Coca-Cola Diet 355ml,,,Beverage->pop,,0.59,,,,,,,bp005,bp005.jpg,,taxable,standard-rate
Coca-Cola Diet Bottle 2L,,,Beverage->pop,,2.29,,,,,,,bp006,bp006.jpg,,taxable,standard-rate
Pepsi 355ml,,,Beverage->pop,,0.59,,,,,,,bp007,bp007.jpeg,,taxable,standard-rate
Pepsi Bottle 2L,,,Beverage->pop,,2.29,,,,,,,bp008,bp008.jpg,,taxable,standard-rate
Pepsi Diet 335ml,,,Beverage->pop,,0.59,,,,,,,bp009,bp009.jpg,,taxable,standard-rate
Pepsi Diet Bottle 2L,,,Beverage->pop,,2.29,,,,,,,bp010,bp010.jpeg,,taxable,standard-rate
Pepsi Max 355ml,,,Beverage->pop,,0.59,,,,,,,bp011,bp011.jpg,,taxable,standard-rate
Pepsi Real 355ml,,,Beverage->pop,,0.59,,,,,,,bp012,bp012.jpg,,taxable,standard-rate
Pepsi Lime 355ml,,,Beverage->pop,,0.59,,,,,,,bp013,bp013.gif,,taxable,standard-rate
Nestea lemon Iced Tea 341ml,,,Beverage->pop,,0.59,,,,,,,bp014,bp014.jpg,,taxable,standard-rate
Nestea lemon Iced Tea Zero 341ml,,,Beverage->pop,,0.59,,,,,,,bp015,bp015.jpg,,taxable,standard-rate
Nestea lemon Iced Tea Bottle 2L,,,Beverage->pop,,2.29,,,,,,,bp016,bp016.jpg,,taxable,standard-rate
Nestea Cool 341ml,,,Beverage->pop,,0.59,,,,,,,bp017,bp017.jpg,,taxable,standard-rate
Nestea Cool Bottle 2L,,,Beverage->pop,,2.29,,,,,,,bp018,bp018.jpg,,taxable,standard-rate
Crush Orange 355ml,,,Beverage->pop,,0.59,,,,,,,bp019,bp019.jpg,,taxable,standard-rate
Crush Grape 355ml,,,Beverage->pop,,0.59,,,,,,,bp020,bp020.jpg,,taxable,standard-rate
Crush Cream Soda 355ml,,,Beverage->pop,,0.59,,,,,,,bp021,bp021.jpg,,taxable,standard-rate
Crush Orange Bottle 2L,,,Beverage->pop,,2.29,,,,,,,bp022,bp022.jpg,,taxable,standard-rate
Canada Dry Ginger Ale 355ml,,,Beverage->pop,,0.59,,,,,,,bp023,bp023.jpg,,taxable,standard-rate
Canada Dry Diet Ginger Ale 355ml,,,Beverage->pop,,0.59,,,,,,,bp024,bp024.jpg,,taxable,standard-rate
Canada Dry Tonic Water 355ml,,,Beverage->pop,,0.59,,,,,,,bp025,bp025.jpg,,taxable,standard-rate
Canada Dry Club Soda 355ml,,,Beverage->pop,,0.59,,,,,,,bp026,bp026.jpg,,taxable,standard-rate
Canada Dry Ginger Ale Bottle 2L,,,Beverage->pop,,2.29,,,,,,,bp027,bp027.jpg,,taxable,standard-rate
Canada Dry Ginger Ale Diet Bottle 2L,,,Beverage->pop,,2.29,,,,,,,bp028,bp028.jpg,,taxable,standard-rate
Canada Dry Club Soda Bottle 2L,,,Beverage->pop,,2.29,,,,,,,bp029,bp029.jpg,,taxable,standard-rate
7UP 355ml,,,Beverage->pop,,0.59,,,,,,,bp030,bp030.jpg,,taxable,standard-rate
7UP Diet 355ml,,,Beverage->pop,,0.59,,,,,,,bp031,bp031.jpg,,taxable,standard-rate
