title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Chips Ahoy!,,,Food->biscuits-and-cookies,,3.49,,,,,,,fbc001,fbc001.jpg,,taxable,standard-rate
OREO Original,,,Food->biscuits-and-cookies,,3.49,,,,,,,fbc002,fbc002.jpg,,taxable,standard-rate
LifeStyle blueberry brown sugar,,,Food->biscuits-and-cookies,,3.99,,,,,,,fbc003,fbc003.jpg,,taxable,standard-rate
LifeStyle fruit creme,,,Food->biscuits-and-cookies,,3.99,,,,,,,fbc004,fbc004.jpg,,taxable,standard-rate
LifeStyle shortcake,,,Food->biscuits-and-cookies,,3.99,,,,,,,fbc005,fbc005.jpg,,taxable,standard-rate
LifeStyle bran crunch,,,Food->biscuits-and-cookies,,3.99,,,,,,,fbc006,fbc006.jpg,,taxable,standard-rate
LifeStyle cranberry citrus oat crunch,,,Food->biscuits-and-cookies,,3.99,,,,,,,fbc007,fbc007.jpg,,taxable,standard-rate
OREO Double Stuf,,,Food->biscuits-and-cookies,,3.49,,,,,,,fbc008,fbc008.jpg,,taxable,standard-rate
OERO Golden,,,Food->biscuits-and-cookies,,3.49,,,,,,,fbc009,fbc009.jpg,,taxable,standard-rate
OREO Double Stuf Golden,,,Food->biscuits-and-cookies,,3.49,,,,,,,fbc010,fbc010.jpg,,taxable,standard-rate
OREO mini,,,Food->biscuits-and-cookies,,3.49,,,,,,,fbc011,fbc011.jpg,,taxable,standard-rate
Ritz 61 Less Sodium,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc012,fbc012.jpg,,taxable,standard-rate
Ritz Real Cheddar Cheese,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc013,fbc013.jpg,,taxable,standard-rate
Ritz Original,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc014,fbc014.jpg,,taxable,standard-rate
Goldfish Whole Grain,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc015,fbc015.jpg,,taxable,standard-rate
Goldfish Colours,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc016,fbc016.jpg,,taxable,standard-rate
Goldfish Cheddar,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc017,fbc017.jpg,,taxable,standard-rate
Goldfish Pretzel,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc018,fbc018.jpg,,taxable,standard-rate
Goldfish Original,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc019,fbc019.jpg,,taxable,standard-rate
Goldfish Xtreme Cheddar,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc020,fbc020.jpg,,taxable,standard-rate
Ritz sandwiches mini choco-guimauve,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc021,fbc021.jpg,,taxable,standard-rate
Ritz sandwiches bits cheese,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc022,fbc022.jpg,,taxable,standard-rate
Goldfish Salt&Vinegar,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc023,fbc023.jpg,,taxable,standard-rate
Goldfish Xplosive Pizza,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc024,fbc024.jpg,,taxable,standard-rate
Ritz sandwiches bits snak pack,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc025,fbc025.jpg,,taxable,standard-rate
Ritz 30 Less Fat ,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc026,fbc026.jpg,,taxable,standard-rate
Ritz mini Original,,,Food->biscuits-and-cookies,,2.99,,,,,,,fbc027,fbc027.jpg,,taxable,standard-rate
Chunks Ahoy! Triple Chocolate,,,Food->biscuits-and-cookies,,3.49,,,,,,,fbc028,fbc028.jpg,,taxable,standard-rate
Chips Ahoy! Rainbow,,,Food->biscuits-and-cookies,,3.49,,,,,,,fbc029,fbc029.jpg,,taxable,standard-rate
FudgeeO Original,,,Food->biscuits-and-cookies,,3.49,,,,,,,fbc030,fbc030.jpg,,taxable,standard-rate
Bear Paws cereal & fruit,,,Food->biscuits-and-cookies,,3.89,,,,,,,fbc031,fbc031.jpg,,taxable,standard-rate
Bear Paws Morning Snack Cereal & Blueberry Yogurt,,,Food->biscuits-and-cookies,,3.89,,,,,,,fbc032,fbc032.jpg,,taxable,standard-rate
Bear Paws Morning Snack Cereal & Vanilla Yogurt,,,Food->biscuits-and-cookies,,3.89,,,,,,,fbc033,fbc033.jpg,,taxable,standard-rate
Bear Paws minis chocolate chip,,,Food->biscuits-and-cookies,,3.89,,,,,,,fbc034,fbc034.jpg,,taxable,standard-rate
Bear Paws Brownie,,,Food->biscuits-and-cookies,,3.89,,,,,,,fbc035,fbc035.jpg,,taxable,standard-rate
