title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Wonder+ White Loaf With Fibre,,,Food->bread-pasta-and-side-dishes,,3.29,,,,,,,fgps001,fgps001.jpg,,taxable,zero-rate
Wonder+ 100% Whole Wheat,,,Food->bread-pasta-and-side-dishes,,3.29,,,,,,,fgps002,fgps002.jpg,,taxable,zero-rate
Wonder+ White Bread,,,Food->bread-pasta-and-side-dishes,,3.19,,,,,,,fgps003,fgps003.jpg,,taxable,zero-rate
Wonder+ White Hotdog Bun,,,Food->bread-pasta-and-side-dishes,,3.49,,,,,,,fgps004,fgps004.jpg,,taxable,zero-rate
Wonder+ White Hamburger Bun,,,Food->bread-pasta-and-side-dishes,,3.49,,,,,,,fgps005,fgps005.jpg,,taxable,zero-rate
IP Linguine 900g,,,Food->bread-pasta-and-side-dishes,,2.49,,,,,,,fgps006,fgps006.jpg,,taxable,zero-rate
IP Spaghetti 900g,,,Food->bread-pasta-and-side-dishes,,2.49,,,,,,,fgps007,fgps007.jpg,,taxable,zero-rate
IP Baby Shells 900g,,,Food->bread-pasta-and-side-dishes,,2.49,,,,,,,fgps008,fgps008.jpg,,taxable,zero-rate
IP Small Shells 900g,,,Food->bread-pasta-and-side-dishes,,2.49,,,,,,,fgps009,fgps009.jpg,,taxable,zero-rate
IP Penne Rigate 900g,,,Food->bread-pasta-and-side-dishes,,2.49,,,,,,,fgps010,fgps010.jpg,,taxable,zero-rate
Sungiven Sweet Potato Vermicelli 400g,,,Food->bread-pasta-and-side-dishes,,4.99,,,,,,,fgps011,fgps011.jpg,,taxable,standard-rate
Rose Brand Thai Rice 8.18kg,,,Food->bread-pasta-and-side-dishes,,18.99,,,,,,,fgps012,fgps012.jpg,,taxable,zero-rate
Robin Hood All Purpose Flour 1kg,,,Food->bread-pasta-and-side-dishes,,3.89,,,,,,,fgps013,fgps013.jpg,,taxable,zero-rate
