title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
POM Blueberry 473ml,,,Beverage->Juice,,4.49,,,,,,,bj001,bj001.jpg,,taxable,standard-rate
POM Cherry 473ml,,,Beverage->Juice,,4.49,,,,,,,bj002,bj002.jpg,,taxable,standard-rate
POM Cranberry 473ml,,,Beverage->Juice,,4.49,,,,,,,bj003,bj003.jpg,,taxable,standard-rate
POM Mango 473ml,,,Beverage->Juice,,4.49,,,,,,,bj004,bj004.jpg,,taxable,standard-rate
POM 100% pomegranate 473ml,,,Beverage->Juice,,4.49,,,,,,,bj005,bj005.jpg,,taxable,standard-rate
POM Tea Lychee 473ml,,,Beverage->Juice,,3.49,,,,,,,bj006,bj006.jpg,,taxable,standard-rate
POM Tea Peach 473ml,,,Beverage->Juice,,3.49,,,,,,,bj007,bj007.jpg,,taxable,standard-rate
POM Tea Blackberry 473ml,,,Beverage->Juice,,3.49,,,,,,,bj008,bj008.jpg,,taxable,standard-rate
Bolthouse 100% Pomegranate 450ml,,,Beverage->Juice,,3.99,,,,,,,bj009,bj009.jpg,,taxable,standard-rate
Bolthouse Orange + Carrot 450ml,,,Beverage->Juice,,3.99,,,,,,,bj010,bj010.jpg,,taxable,standard-rate
Bolthouse Amazing Mango 450ml,,,Beverage->Juice,,3.99,,,,,,,bj011,bj011.jpg,,taxable,standard-rate
Bolthouse Strawberry Banana 450ml,,,Beverage->Juice,,3.99,,,,,,,bj012,bj012.jpg,,taxable,standard-rate
Bolthouse Berry Boost 450ml,,,Beverage->Juice,,3.99,,,,,,,bj013,bj013.jpg,,taxable,standard-rate
Bolthouse Vanilla Chai Tea 450ml,,,Beverage->Juice,,3.99,,,,,,,bj014,bj014.jpg,,taxable,standard-rate
Bolthouse Green Goodness 450ml,,,Beverage->Juice,,3.99,,,,,,,bj015,bj015.jpg,,taxable,standard-rate
Oasis Pure Orange,,,Beverage->Juice,,1.89,,,,,,,bj016,bj016.jpg,,taxable,standard-rate
Oasis Pure Apple,,,Beverage->Juice,,1.89,,,,,,,bj017,bj017.jpg,,taxable,standard-rate
Oasis Grape Wild Berries,,,Beverage->Juice,,1.89,,,,,,,bj018,bj018.jpg,,taxable,standard-rate
Oasis Strawberry Banana,,,Beverage->Juice,,1.89,,,,,,,bj019,bj019.jpg,,taxable,standard-rate
Oasis Peach Clementine,,,Beverage->Juice,,1.89,,,,,,,bj020,bj020.jpg,,taxable,standard-rate
Oasis Tropical Passion,,,Beverage->Juice,,1.89,,,,,,,bj021,bj021.jpg,,taxable,standard-rate
Oasis Exotic Mango,,,Beverage->Juice,,1.89,,,,,,,bj022,bj022.jpg,,taxable,standard-rate
V8 Low Sodium 6*156ml,,,Beverage->Juice,,3.29,,,,,,,bj023,bj023.jpg,,taxable,standard-rate
V8 Orignal 6*156ml,,,Beverage->Juice,,3.29,,,,,,,bj024,bj024.jpg,,taxable,standard-rate
V8 Cranberry Blackberry,,,Beverage->Juice,,3.99,,,,,,,bj025,bj025.jpg,,taxable,standard-rate
V8 Pomegranate Blueberry,,,Beverage->Juice,,3.99,,,,,,,bj026,bj026.jpg,,taxable,standard-rate
V8 Peach Mango,,,Beverage->Juice,,3.99,,,,,,,bj027,bj027.jpg,,taxable,standard-rate
V8 Low Sodium,,,Beverage->Juice,,3.99,,,,,,,bj028,bj028.jpg,,taxable,standard-rate
V8 Orignal,,,Beverage->Juice,,3.99,,,,,,,bj029,bj029.jpg,,taxable,standard-rate
Minute Maid Orange 10*200ml,,,Beverage->Juice,,3.99,,,,,,,bj030,bj030.jpg,,taxable,standard-rate
Minute Maid Apple 10*200ml,,,Beverage->Juice,,3.99,,,,,,,bj031,bj031.jpg,,taxable,standard-rate
Minute Maid Fruit Punch 10*200ml,,,Beverage->Juice,,3.99,,,,,,,bj032,bj032.jpg,,taxable,standard-rate
Minute Maid Grape Punch 10*200ml,,,Beverage->Juice,,3.99,,,,,,,bj033,bj033.jpg,,taxable,standard-rate
Minute Maid Peach Cocktail 8*200ml,,,Beverage->Juice,,3.49,,,,,,,bj034,bj034.jpg,,taxable,standard-rate
