title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Crest Cavity Protection Gel Toothpaste - Cool Mint 130 mL,,,personal-care-and-beauty->oral-care,,1.99,,,,,,,pcboc001,pcboc001.jpeg,,taxable,standard-rate
Crest Cavity Protection Toothpaste - Regular 130 mL,,,personal-care-and-beauty->oral-care,,1.99,,,,,,,pcboc002,pcboc002.jpeg,,taxable,standard-rate
Crest Cavity Protection Toothpaste - Regular 170 mL,,,personal-care-and-beauty->oral-care,,2.79,,,,,,,pcboc003,pcboc003.jpeg,,taxable,standard-rate
Crest Pro-Health Gel Toothpaste - Clean Mint 20 mL,,,personal-care-and-beauty->oral-care,,1.49,,,,,,,pcboc004,pcboc004.jpeg,,taxable,standard-rate
Crest Pro-Health Sensitive + Enamel Shield Toothpaste 85ml,,,personal-care-and-beauty->oral-care,,2.79,,,,,,,pcboc005,pcboc005.jpeg,,taxable,standard-rate
Crest Pro-Health Sensitive + Enamel Shield Toothpaste 170ml,,,personal-care-and-beauty->oral-care,,4.49,,,,,,,pcboc006,pcboc006.jpeg,,taxable,standard-rate
Crest 3D White Vivid Toothpaste - Radiant Mint 85ml,,,personal-care-and-beauty->oral-care,,2.79,,,,,,,pcboc007,pcboc007.jpeg,,taxable,standard-rate
Crest 3D White Vivid Toothpaste - Radiant Mint 165ml,,,personal-care-and-beauty->oral-care,,4.49,,,,,,,pcboc008,pcboc008.jpeg,,taxable,standard-rate
Crest Complete Plus Scope Outlast Toothpaste - Long Lasting Mint 150 mL,,,personal-care-and-beauty->oral-care,,3.29,,,,,,,pcboc009,pcboc009.jpeg,,taxable,standard-rate
Crest Pro-Health Whitening Gel Toothpaste - Fresh Clean Mint 125 mL,,,personal-care-and-beauty->oral-care,,3.29,,,,,,,pcboc010,pcboc010.jpeg,,taxable,standard-rate
Crest Pro-Health Gel Toothpaste - Clean Mint 125 mL,,,personal-care-and-beauty->oral-care,,3.29,,,,,,,pcboc011,pcboc011.jpeg,,taxable,standard-rate
Crest Whitening Plus Scope Minty Fresh Paste,,,personal-care-and-beauty->oral-care,,2.99,,,,,,,pcboc012,pcboc012.jpeg,,taxable,standard-rate
Crest pro-health clinical protection toothpaste,,,personal-care-and-beauty->oral-care,,4.49,,,,,,,pcboc013,pcboc013.jpeg,,taxable,standard-rate
Crest Pro-Health Clinical Sensitivity Toothpaste,,,personal-care-and-beauty->oral-care,,5.99,,,,,,,pcboc014,pcboc014.jpeg,,taxable,standard-rate
Crest 3D White Whitestrips Stain Shield,,,personal-care-and-beauty->oral-care,,47.99,,,,,,,pcboc015,pcboc015.jpeg,,taxable,standard-rate
Crest 3D White Whitestrips Gentle Routine,,,personal-care-and-beauty->oral-care,,47.99,,,,,,,pcboc016,pcboc016.jpeg,,taxable,standard-rate
Crest 3D White Whitestrips Professional Effects,,,personal-care-and-beauty->oral-care,,61.99,,,,,,,pcboc017,pcboc017.jpeg,,taxable,standard-rate
Crest 3D White Whitestrips Vivid,,,personal-care-and-beauty->oral-care,,29.99,,,,,,,pcboc018,pcboc018.jpeg,,taxable,standard-rate
Crest Whitestrips Advanced Vivid 14ct,,,personal-care-and-beauty->oral-care,,47.99,,,,,,,pcboc019,pcboc019.jpeg,,taxable,standard-rate
Crest 3D White Multi-Care Whitening Rinse 250ml,,,personal-care-and-beauty->oral-care,,3.39,,,,,,,pcboc020,pcboc020.jpeg,,taxable,standard-rate
Crest Pro-Health Complete Rinse- Clean Mint 500 mL,,,personal-care-and-beauty->oral-care,,4.49,,,,,,,pcboc021,pcboc021.jpeg,,taxable,standard-rate
Crest Pro-Health Multi-Protection Rinse - Refreshing Clean Mint 250 mL,,,personal-care-and-beauty->oral-care,,3.39,,,,,,,pcboc022,pcboc022.jpeg,,taxable,standard-rate
Crest Pro-Health Multi-Protection Rinse - Cool Wintergreen 500 mL,,,personal-care-and-beauty->oral-care,,4.99,,,,,,,pcboc023,pcboc023.jpeg,,taxable,standard-rate
Colgate Total Advanced Health Sensitive Toothpaste 170ml,,,personal-care-and-beauty->oral-care,,4.99,,,,,,,pcboc024,pcboc024.jpeg,,taxable,standard-rate
Colgate Total* Advanced Health* Enamel Strength Toothpaste 170ml,,,personal-care-and-beauty->oral-care,,4.49,,,,,,,pcboc025,pcboc025.jpeg,,taxable,standard-rate
Max White with Mini Bright Strips 125mL,,,personal-care-and-beauty->oral-care,,2.79,,,,,,,pcboc026,pcboc026.jpeg,,taxable,standard-rate
Colgate Sensitive Pro-Relief Original Toothpaste 75mL,,,personal-care-and-beauty->oral-care,,5.49,,,,,,,pcboc027,pcboc027.jpeg,,taxable,standard-rate
Colgate Total* Advanced Health* Whitening Toothpaste 170ml,,,personal-care-and-beauty->oral-care,,4.49,,,,,,,pcboc028,pcboc028.jpeg,,taxable,standard-rate
Colgate Regular Toothpaste - 100 mL,,,personal-care-and-beauty->oral-care,,1.49,,,,,,,pcboc029,pcboc029.jpeg,,taxable,standard-rate
