title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Bertolli Olive Oil Classico 1L,,,"Food->Sauce, Oil & Seasonings",,10.99,,,,,,,fsos001,fsos001.jpg,,taxable,standard-rate
Bertolli Olive Oil Extra Virgin 1L,,,"Food->Sauce, Oil & Seasonings",,11.99,,,,,,,fsos002,fsos002.jpg,,taxable,standard-rate
Nutella 375g,,,"Food->Sauce, Oil & Seasonings",,4.99,,,,,,,fsos003,fsos003.jpg,,taxable,standard-rate
Nutella 725g,,,"Food->Sauce, Oil & Seasonings",,6.99,,,,,,,fsos004,fsos004.jpg,,taxable,standard-rate
Kraft Peanut Better Unsweetened Unsalted 500g,,,"Food->Sauce, Oil & Seasonings",,5.19,,,,,,,fsos005,fsos005.jpg,,taxable,standard-rate
Kraft Peanut Butter Smooth 500g,,,"Food->Sauce, Oil & Seasonings",,5.19,,,,,,,fsos006,fsos006.jpg,,taxable,standard-rate
Kraft Peanut Butter Smooth Light 500g,,,"Food->Sauce, Oil & Seasonings",,5.19,,,,,,,fsos007,fsos007.jpg,,taxable,standard-rate
Billybee Honey 1kg,,,"Food->Sauce, Oil & Seasonings",,10.99,,,,,,,fsos008,fsos008.jpg,,taxable,standard-rate
Billybee Honey 375g,,,"Food->Sauce, Oil & Seasonings",,4.49,,,,,,,fsos009,fsos009.jpg,,taxable,standard-rate
Smucker's Strawberry Jelly 250ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos010,fsos010.jpg,,taxable,standard-rate
Smucker's Blackberry Jam 250ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos011,fsos011.jpg,,taxable,standard-rate
Smucker's Blueberry Jam 250ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos012,fsos012.jpg,,taxable,standard-rate
Smucker's Peach Jam 250ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos013,fsos013.jpg,,taxable,standard-rate
Smucker's Raspberry Jam 250ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos014,fsos014.jpg,,taxable,standard-rate
Smucker's Apple Jelly 250ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos015,fsos015.jpg,,taxable,standard-rate
A1 BBQ Sauce 400ml,,,"Food->Sauce, Oil & Seasonings",,4.59,,,,,,,fsos016,fsos016.jpg,,taxable,standard-rate
HP BBQ Sauce 400ml,,,"Food->Sauce, Oil & Seasonings",,4.59,,,,,,,fsos017,fsos017.jpg,,taxable,standard-rate
Heinz Ketchup 375ml,,,"Food->Sauce, Oil & Seasonings",,2.99,,,,,,,fsos018,fsos018.jpg,,taxable,standard-rate
Heinz Ketchup 750ml,,,"Food->Sauce, Oil & Seasonings",,4.29,,,,,,,fsos019,fsos019.jpg,,taxable,standard-rate
Bick's Extra Garlic 500ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos020,fsos020.jpg,,taxable,standard-rate
Bick's Tangy Dill 500ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos021,fsos021.jpg,,taxable,standard-rate
Bick's Passion Ail,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos022,fsos022.jpg,,taxable,standard-rate
Bick's Definitely Dill,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos023,fsos023.jpg,,taxable,standard-rate
Bick's Relish 375ml,,,"Food->Sauce, Oil & Seasonings",,2.49,,,,,,,fsos024,fsos024.jpg,,taxable,standard-rate
Kraft Miracle Whip 650ml,,,"Food->Sauce, Oil & Seasonings",,5.29,,,,,,,fsos025,fsos025.jpg,,taxable,standard-rate
Kraft Creamy Cesar 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos026,fsos026.jpg,,taxable,standard-rate
Kraft Rancher's Choice Campagne 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos027,fsos027.jpg,,taxable,standard-rate
Kraft Creamy Poppyseed 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos028,fsos028.jpg,,taxable,standard-rate
Kraft Three Cheese Ranch 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos029,fsos029.jpg,,taxable,standard-rate
Kraft Coleslaw 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos030,fsos030.jpg,,taxable,standard-rate
Kraft Asian Sesame 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos031,fsos031.jpg,,taxable,standard-rate
Kraft Raspberry Vinaigrette 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos032,fsos032.jpg,,taxable,standard-rate
Kraft Red Pepper with Parmesan,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos033,fsos033.jpg,,taxable,standard-rate
Kraft Zesty Italian 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos034,fsos034.jpg,,taxable,standard-rate
Kraft Sun-dried Tomato&Oregano 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos035,fsos035.jpg,,taxable,standard-rate
Kraft Catalina 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos036,fsos036.jpg,,taxable,standard-rate
Kraft Madarin Orange with Sesame,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos037,fsos037.jpg,,taxable,standard-rate
Kraft Mango Chipotle 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos038,fsos038.jpg,,taxable,standard-rate
Kraft Creamy Cucumber 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos039,fsos039.jpg,,taxable,standard-rate
Kraft French Style 475ml,,,"Food->Sauce, Oil & Seasonings",,3.49,,,,,,,fsos040,fsos040.jpg,,taxable,standard-rate
Heinz Pure White Vinegar 1L,,,"Food->Sauce, Oil & Seasonings",,2.29,,,,,,,fsos041,fsos041.jpg,,taxable,standard-rate
Heinz Pure Malt Vinegar 375ml,,,"Food->Sauce, Oil & Seasonings",,1.99,,,,,,,fsos042,fsos042.jpg,,taxable,standard-rate
VH Mango Curry Cooking Sauce 341ml,,,"Food->Sauce, Oil & Seasonings",,4.29,,,,,,,fsos043,fsos043.jpg,,taxable,standard-rate
VH Tandoori Cooking Sauce 341ml,,,"Food->Sauce, Oil & Seasonings",,4.29,,,,,,,fsos044,fsos044.jpg,,taxable,standard-rate
VH Korma Cooking Sauce 341ml,,,"Food->Sauce, Oil & Seasonings",,4.29,,,,,,,fsos045,fsos045.jpg,,taxable,standard-rate
Classico Tomato & Basil 650ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos046,fsos046.jpg,,taxable,standard-rate
Classico Four Cheese 650ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos047,fsos047.jpg,,taxable,standard-rate
Classico Spicy Red Pepper 650ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos048,fsos048.jpg,,taxable,standard-rate
Classico Florentine Spinach&Cheese 650ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos049,fsos049.jpg,,taxable,standard-rate
"Classico Italian Sausage, Peepers&Onions 650ml",,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos050,fsos050.jpg,,taxable,standard-rate
Classico Vodka Sauce 650ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos051,fsos051.jpg,,taxable,standard-rate
Classico Roasted Garlic&Onion 650ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos052,fsos052.jpg,,taxable,standard-rate
Classico Sweet Basil Marinara 650ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos053,fsos053.jpg,,taxable,standard-rate
Classico Alfredo&Sun-dried Tomato 410ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos054,fsos054.jpg,,taxable,standard-rate
Classico Mushroom Alfredo 410ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos055,fsos055.jpg,,taxable,standard-rate
Classico Four Cheese Alfredo 410ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos056,fsos056.jpg,,taxable,standard-rate
Classico Alfredo 410ml,,,"Food->Sauce, Oil & Seasonings",,3.99,,,,,,,fsos057,fsos057.jpg,,taxable,standard-rate
Redpath Sugar 2kg,,,"Food->Sauce, Oil & Seasonings",,2.99,,,,,,,fsos058,fsos058.jpg,,taxable,standard-rate
Redpath Sugar Cubes 500g,,,"Food->Sauce, Oil & Seasonings",,1.99,,,,,,,fsos059,fsos059.jpg,,taxable,standard-rate
Redpath Dark Brown Sugar 1kg,,,"Food->Sauce, Oil & Seasonings",,3.29,,,,,,,fsos060,fsos060.jpg,,taxable,standard-rate
Kraft BBQ Sauce Garlic Ail 445ml,,,"Food->Sauce, Oil & Seasonings",,3.29,,,,,,,fsos061,fsos061.jpg,,taxable,standard-rate
Kraft BBQ Sauce Sweet 'n Sour 445ml,,,"Food->Sauce, Oil & Seasonings",,3.29,,,,,,,fsos062,fsos062.jpg,,taxable,standard-rate
Kraft BBQ Sauce Original 445ml,,,"Food->Sauce, Oil & Seasonings",,3.29,,,,,,,fsos063,fsos063.jpg,,taxable,standard-rate
Kraft BBQ Sauce Chicken 'n Rib 445ml,,,"Food->Sauce, Oil & Seasonings",,3.29,,,,,,,fsos064,fsos064.jpg,,taxable,standard-rate
Kraft BBQ Sauce Brown Sugar 445ml,,,"Food->Sauce, Oil & Seasonings",,3.29,,,,,,,fsos065,fsos065.jpg,,taxable,standard-rate
Crisco Vegetable Oil 1.42l,,,"Food->Sauce, Oil & Seasonings",,5.69,,,,,,,fsos066,fsos066.jpg,,taxable,standard-rate
Unico Sunflower Oil 1L,,,"Food->Sauce, Oil & Seasonings",,4.19,,,,,,,fsos067,fsos067.jpg,,taxable,standard-rate
Tabasco 57ml,,,"Food->Sauce, Oil & Seasonings",,3.79,,,,,,,fsos068,fsos068.jpg,,taxable,standard-rate
Jumbo Wasabi 80g,,,"Food->Sauce, Oil & Seasonings",,4.59,,,,,,,fsos069,fsos069.jpg,,taxable,standard-rate
Maggi Seasoning 200ml,,,"Food->Sauce, Oil & Seasonings",,4.49,,,,,,,fsos070,fsos070.jpg,,taxable,standard-rate
Knorr Chicken Poulet 150g,,,"Food->Sauce, Oil & Seasonings",,3.59,,,,,,,fsos071,fsos071.jpg,,taxable,standard-rate
