title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Sunlight liquid detergent,,,home-and-office-supplies->cleaning,,2.79,,,,,,,hosc001,hosc001.jpg,,taxable,standard-rate
Palmolive Soft touch aloe detergent,,,home-and-office-supplies->cleaning,,3.29,,,,,,,hosc002,hosc002.jpg,,taxable,standard-rate
Palmolive Pomegranate grenade detergent,,,home-and-office-supplies->cleaning,,3.29,,,,,,,hosc003,hosc003.jpg,,taxable,standard-rate
Palmolive Soft touch vitamin e detergent,,,home-and-office-supplies->cleaning,,3.29,,,,,,,hosc004,hosc004.jpg,,taxable,standard-rate
Sunlight antibacterial detergent,,,home-and-office-supplies->cleaning,,3.29,,,,,,,hosc005,hosc005.jpg,,taxable,standard-rate
Scotch Rouleau,,,home-and-office-supplies->cleaning,,3.99,,,,,,,hosc006,hosc006.jpg,,taxable,standard-rate
Scotch-Brite Heavy Duty Dishwand,,,home-and-office-supplies->cleaning,,3.99,,,,,,,hosc007,hosc007.jpg,,taxable,standard-rate
Tide Coldwater Laundry Liquid,,,home-and-office-supplies->cleaning,,9.99,,,,,,,hosc008,hosc008.jpg,,taxable,standard-rate
Tide Bleach Laundry Liquid,,,home-and-office-supplies->cleaning,,9.99,,,,,,,hosc009,hosc009.jpg,,taxable,standard-rate
Tide Original Laundry Liquid,,,home-and-office-supplies->cleaning,,9.99,,,,,,,hosc010,hosc010.jpg,,taxable,standard-rate
Tide Downy Laundry Liquid,,,home-and-office-supplies->cleaning,,9.99,,,,,,,hosc011,hosc011.jpg,,taxable,standard-rate
Febreze Air Effects Linen and Sky,,,home-and-office-supplies->cleaning,,4.49,,,,,,,hosc012,hosc012.jpg,,taxable,standard-rate
Febreze Air Effects Hawaiian Aloha,,,home-and-office-supplies->cleaning,,4.49,,,,,,,hosc013,hosc013.jpg,,taxable,standard-rate
Febreze Air Effects Mediterranean Lavender,,,home-and-office-supplies->cleaning,,4.49,,,,,,,hosc014,hosc014.jpg,,taxable,standard-rate
Glade Solid Air Freshener Apple Cinnamon,,,home-and-office-supplies->cleaning,,5.29,,,,,,,hosc015,hosc015.jpg,,taxable,standard-rate
Glade Solid Air Freshener Lessive Fraiche,,,home-and-office-supplies->cleaning,,5.29,,,,,,,hosc016,hosc016.jpg,,taxable,standard-rate
Glade Solid Air Freshener Clear Springs,,,home-and-office-supplies->cleaning,,5.29,,,,,,,hosc017,hosc017.jpg,,taxable,standard-rate
Glade Solid Air Freshener Hawaiian Breeze,,,home-and-office-supplies->cleaning,,5.29,,,,,,,hosc018,hosc018.jpg,,taxable,standard-rate
Glade Solid Air Freshener French Vanilla,,,home-and-office-supplies->cleaning,,5.29,,,,,,,hosc019,hosc019.jpg,,taxable,standard-rate
Mr. Clean Multi-Surfaces Disinfectant Liquid,,,home-and-office-supplies->cleaning,,4.69,,,,,,,hosc020,hosc020.jpg,,taxable,standard-rate
Mr. Clean with Febreze Citrus & Light Disinfectant Liquid Cleaner,,,home-and-office-supplies->cleaning,,4.69,,,,,,,hosc021,hosc021.jpg,,taxable,standard-rate
Toilet Duck Thick Liquid Toilet Bowl Cleaner,,,home-and-office-supplies->cleaning,,3.49,,,,,,,hosc022,hosc022.jpg,,taxable,standard-rate
LYSOL All purpose Pourable Cleaner Lavender,,,home-and-office-supplies->cleaning,,4.49,,,,,,,hosc023,hosc023.jpg,,taxable,standard-rate
LYSOL All purpose Pourable Cleaner Lemon,,,home-and-office-supplies->cleaning,,4.49,,,,,,,hosc024,hosc024.jpg,,taxable,standard-rate
LYSOL All purpose Pourable Cleaner Fresh Orange,,,home-and-office-supplies->cleaning,,4.49,,,,,,,hosc025,hosc025.jpg,,taxable,standard-rate
Downy Infusions Citrus Spice Fabric Softener,,,home-and-office-supplies->cleaning,,4.49,,,,,,,hosc026,hosc026.jpg,,taxable,standard-rate
Downy Infusions Sage Jasmine Fabric Softener,,,home-and-office-supplies->cleaning,,4.49,,,,,,,hosc027,hosc027.jpg,,taxable,standard-rate
Tide to go 3 pack,,,home-and-office-supplies->cleaning,,11.99,,,,,,,hosc028,hosc028.jpg,,taxable,standard-rate
