title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Lipton Green Tea 113g,,,Food->coffee-and-tea,,6.49,,,,,,,fcf001,fcf001.jpg,,,
Lipton Yellow Label Tea 200g,,,Food->coffee-and-tea,,6.49,,,,,,,fcf002,fcf002.jpg,,,
Nestle Carnation Hot Chocolate light,,,Food->coffee-and-tea,,3.99,,,,,,,fcf003,fcf003.jpg,,,
Nestle Carnation Milk Chocolate,,,Food->coffee-and-tea,,3.99,,,,,,,fcf004,fcf004.jpg,,,
Nestle Carnation Hot Chocolate Marshmallow,,,Food->coffee-and-tea,,3.99,,,,,,,fcf005,fcf005.jpg,,,
Nestle Carnation Hot Chocolate Rich & Creamy,,,Food->coffee-and-tea,,3.99,,,,,,,fcf006,fcf006.jpg,,,
Nestle Carnation Variety Pack,,,Food->coffee-and-tea,,3.99,,,,,,,fcf007,fcf007.jpg,,,
Nescafe Latte Caramel,,,Food->coffee-and-tea,,4.59,,,,,,,fcf008,fcf008.jpg,,,
Nescafe Cappuccino Moka,,,Food->coffee-and-tea,,4.59,,,,,,,fcf009,fcf009.jpg,,,
Nescafe Cappuccino Skinny,,,Food->coffee-and-tea,,4.59,,,,,,,fcf010,fcf010.jpg,,,
Nescafe Cappuccino,,,Food->coffee-and-tea,,4.59,,,,,,,fcf011,fcf011.jpg,,,
Nestle Nesquik Original,,,Food->coffee-and-tea,,5.49,,,,,,,fcf012,fcf012.jpg,,,
Nestle Nesquik Rolo,,,Food->coffee-and-tea,,5.49,,,,,,,fcf013,fcf013.jpg,,,
Nestle Nesquik Strawberry Less Sugar,,,Food->coffee-and-tea,,5.49,,,,,,,fcf014,fcf014.jpg,,,
Nestle Nesquik Plus Vitamin,,,Food->coffee-and-tea,,5.49,,,,,,,fcf015,fcf015.jpg,,,
Nestle Nesquik Less Sugar,,,Food->coffee-and-tea,,5.49,,,,,,,fcf016,fcf016.jpg,,,
Nescafe Rich Colombian,,,Food->coffee-and-tea,,7.99,,,,,,,fcf017,fcf017.jpg,,,
Nescafe Rich 100% Natural,,,Food->coffee-and-tea,,7.99,,,,,,,fcf018,fcf018.jpg,,,
Nescafe Rich Hazelnut,,,Food->coffee-and-tea,,7.99,,,,,,,fcf019,fcf019.jpg,,,
Nescafe Rich French Vanilla,,,Food->coffee-and-tea,,7.99,,,,,,,fcf020,fcf020.jpg,,,
Nescafe Encore,,,Food->coffee-and-tea,,7.99,,,,,,,fcf021,fcf021.jpg,,,
Nescafe Decaffeinated,,,Food->coffee-and-tea,,7.99,,,,,,,fcf022,fcf022.jpg,,,
Nestle Coffee-mate Original,,,Food->coffee-and-tea,,4.49,,,,,,,fcf023,fcf023.jpg,,,
Nestle Coffee-mate Hazelnut,,,Food->coffee-and-tea,,4.49,,,,,,,fcf024,fcf024.jpg,,,
Nestle Coffee-mate French Vanilla,,,Food->coffee-and-tea,,4.49,,,,,,,fcf025,fcf025.jpg,,,
Nestle Coffee-mate 50% Less Fat,,,Food->coffee-and-tea,,4.49,,,,,,,fcf026,fcf026.jpg,,,
Van Houtte French Vanilla 180g,,,Food->coffee-and-tea,,10.29,,,,,,,fcf027,fcf027.jpg,,,
Van Houtte House Plend Medium 171g,,,Food->coffee-and-tea,,10.29,,,,,,,fcf028,fcf028.jpg,,,
Van Houtte French Roast Dark 162g,,,Food->coffee-and-tea,,10.29,,,,,,,fcf029,fcf029.jpg,,,
Timothy's Breakfast Blend 176g,,,Food->coffee-and-tea,,10.29,,,,,,,fcf030,fcf030.jpg,,,
Van Houtte Colombian 171g,,,Food->coffee-and-tea,,10.29,,,,,,,fcf031,fcf031.jpg,,,
