title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Neilson 2% Milk 4L Pouch,,,Food->diary,,4.99,,,,,,,fd001,fd001.jpeg,,taxable,standard-tax
Neilson Homo Milk 4L Pouch,,,Food->diary,,4.99,,,,,,,fd002,fd002.jpeg,,taxable,standard-tax
Neilson Skim Milk 4L Pouch,,,Food->diary,,4.99,,,,,,,fd003,fd003.jpeg,,taxable,standard-tax
Neilson 1% Milk 4L Pouch,,,Food->diary,,4.99,,,,,,,fd004,fd004.jpeg,,taxable,standard-tax
Neilson Chocolate Milk 4L Bag,,,Food->diary,,6.49,,,,,,,fd005,fd005.jpeg,,taxable,standard-tax
Neilson 2% Milk 1L,,,Food->diary,,2.99,,,,,,,fd006,fd006.jpeg,,taxable,standard-tax
Neilson 3.25% Milk 1L,,,Food->diary,,2.99,,,,,,,fd007,fd007.jpeg,,taxable,standard-tax
Neilson Skim Milk 1L,,,Food->diary,,2.99,,,,,,,fd008,fd008.jpeg,,taxable,standard-tax
Neilson 1% Milk 1L,,,Food->diary,,2.99,,,,,,,fd009,fd009.jpeg,,taxable,standard-tax
Neilson 1% Chocolate Milk 1L Carton,,,Food->diary,,3.99,,,,,,,fd010,fd010.jpeg,,taxable,standard-tax
IOGO PROBIO 650 g,,,Food->diary,,4.49,,,,,,,fd011,fd011.jpeg,,taxable,standard-tax
IOGO GREKO 2% 500G,,,Food->diary,,5.49,,,,,,,fd012,fd012.jpeg,,taxable,standard-tax
IOGO PROBIO 650G Yogurt,,,Food->diary,,4.49,,,,,,,fd013,fd013.jpeg,,taxable,standard-tax
IOGO GREKO 2% 500G Yogurt,,,Food->diary,,5.49,,,,,,,fd014,fd014.jpeg,,taxable,standard-tax
IOGO GREKO 0% 500G Yogurt,,,Food->diary,,5.49,,,,,,,fd015,fd015.jpeg,,taxable,standard-tax
IOGO GREKO 0% 500G Yogurt,,,Food->diary,,5.49,,,,,,,fd016,fd016.jpeg,,taxable,standard-tax
Liberte Greek Vanilla Yogurt 0%,,,Food->diary,,5.49,,,,,,,fd017,fd017.jpeg,,taxable,standard-tax
Liberte Honey Greek Yogurt 0%,,,Food->diary,,5.49,,,,,,,fd018,fd018.jpeg,,taxable,standard-tax
Liberte Strawberry Greek Yogurt 0%,,,Food->diary,,5.49,,,,,,,fd019,fd019.jpeg,,taxable,standard-tax
Liberte Plain Greek Yogurt 0%,,,Food->diary,,5.49,,,,,,,fd020,fd020.jpeg,,taxable,standard-tax
Liberte Wild Blueberry Greek Yogurt 0%,,,Food->diary,,5.49,,,,,,,fd021,fd021.jpeg,,taxable,standard-tax
Astro Original Balkan StyleYogourt Multipack.,,,Food->diary,,5.99,,,,,,,fd022,fd022.jpeg,,taxable,standard-tax
Activia Probiotic Yogurt 8 x 100g,,,Food->diary,,5.49,,,,,,,fd023,fd023.jpeg,,taxable,standard-tax
