title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Dole Mandarins in Orange Gel 4 cups,,,Fruit->snack,,2.99,,,,,,,fs001,fs001.jpg,,taxable,standard-rate
Dole Peaches 4 cups,,,Fruit->snack,,2.99,,,,,,,fs002,fs002.jpg,,taxable,standard-rate
Dole Fruit Salad 4 cups,,,Fruit->snack,,2.99,,,,,,,fs003,fs003.jpg,,taxable,standard-rate
Dole Diced Pears 4 cups,,,Fruit->snack,,2.99,,,,,,,fs004,fs004.jpg,,taxable,standard-rate
Dole Tropical Fruit 4 cups,,,Fruit->snack,,2.99,,,,,,,fs005,fs005.jpg,,taxable,standard-rate
Dole Mixed Fruit in Cherry Gel 4 cups,,,Fruit->snack,,2.99,,,,,,,fs006,fs006.jpg,,taxable,standard-rate
Dole Peaches in Strawberry Gel 4 cups,,,Fruit->snack,,2.99,,,,,,,fs007,fs007.jpg,,taxable,standard-rate
Dole Diced Peaches 4 cups,,,Fruit->snack,,2.99,,,,,,,fs008,fs008.jpg,,taxable,standard-rate
Dole Mandarins 4 cups,,,Fruit->snack,,2.99,,,,,,,fs009,fs009.jpg,,taxable,standard-rate
Snack pack Chocolate(No Sugar),,,Fruit->snack,,1.99,,,,,,,fs010,fs010.jpg,,taxable,standard-rate
Snack pack Vanilla(No Sugar),,,Fruit->snack,,1.99,,,,,,,fs011,fs011.jpg,,taxable,standard-rate
Snack pack Vanilla,,,Fruit->snack,,1.99,,,,,,,fs012,fs012.jpg,,taxable,standard-rate
Snack pack Butterscotch,,,Fruit->snack,,1.99,,,,,,,fs013,fs013.jpg,,taxable,standard-rate
Snack pack Chocolate,,,Fruit->snack,,1.99,,,,,,,fs014,fs014.jpg,,taxable,standard-rate
Snack pack Strawberry/Orange,,,Fruit->snack,,1.99,,,,,,,fs015,fs015.jpg,,taxable,standard-rate
Snack pack Raspberry/Mixed Berry,,,Fruit->snack,,1.99,,,,,,,fs016,fs016.jpg,,taxable,standard-rate
Kellogg's Nutri Grain Strawberry,,,Fruit->snack,,3.79,,,,,,,fs017,fs017.jpg,,taxable,standard-rate
Kellogg's Nutri Grain Blueberry,,,Fruit->snack,,3.79,,,,,,,fs018,fs018.jpg,,taxable,standard-rate
Kellogg's Nutri Grain Apple Cinnamon,,,Fruit->snack,,3.79,,,,,,,fs019,fs019.jpg,,taxable,standard-rate
Kellogg's Nutri Grain Cherry Pomegranate,,,Fruit->snack,,3.79,,,,,,,fs020,fs020.jpg,,taxable,standard-rate
Kellogg's Nutri Grain Raspberry,,,Fruit->snack,,3.79,,,,,,,fs021,fs021.jpg,,taxable,standard-rate
Kellogg's Nutri Grain Mixed Berry,,,Fruit->snack,,3.79,,,,,,,fs022,fs022.jpg,,taxable,standard-rate
Quaker Chewy Cocoa 6 bars,,,Fruit->snack,,2.99,,,,,,,fs023,fs023.jpg,,taxable,standard-rate
Quaker Chewy S'mores 6 bars,,,Fruit->snack,,2.99,,,,,,,fs024,fs024.jpg,,taxable,standard-rate
Quaker Chewy Raspberry Fruit Crumble 6 bars,,,Fruit->snack,,2.99,,,,,,,fs025,fs025.jpg,,taxable,standard-rate
Quaker Chewy Apple Fruit Crumble 6 bars,,,Fruit->snack,,2.99,,,,,,,fs026,fs026.jpg,,taxable,standard-rate
Quaker Chewy Chocolate Chip 6 bars,,,Fruit->snack,,2.99,,,,,,,fs027,fs027.jpg,,taxable,standard-rate
Quaker Dipps Caramel Nut 6 bars,,,Fruit->snack,,2.99,,,,,,,fs028,fs028.jpg,,taxable,standard-rate
Quaker Fibre & Omega-3 Dark Chocolate Chunk 5 bars,,,Fruit->snack,,2.99,,,,,,,fs029,fs029.jpg,,taxable,standard-rate
Quaker Yogourt Vanilla 5 bars,,,Fruit->snack,,2.99,,,,,,,fs030,fs030.jpg,,taxable,standard-rate
Tostitos Salsa Queso Medium,,,Fruit->snack,,3.49,,,,,,,fs031,fs031.jpg,,taxable,standard-rate
Tostitos Salsa Hot,,,Fruit->snack,,3.49,,,,,,,fs032,fs032.jpg,,taxable,standard-rate
Tostitos Salsa Mild,,,Fruit->snack,,3.49,,,,,,,fs033,fs033.jpg,,taxable,standard-rate
Tostitos Epinards Spinach Dip,,,Fruit->snack,,4.29,,,,,,,fs034,fs034.jpg,,taxable,standard-rate
Ruffles Onion Dip,,,Fruit->snack,,3.99,,,,,,,fs035,fs035.jpg,,taxable,standard-rate
Ruffles Ranch Dip,,,Fruit->snack,,3.99,,,,,,,fs036,fs036.jpg,,taxable,standard-rate
Tostitos Salsa Medium,,,Fruit->snack,,3.49,,,,,,,fs037,fs037.jpg,,taxable,standard-rate
Tostitos Roasted Garlic Salsa,,,Fruit->snack,,3.49,,,,,,,fs038,fs038.jpg,,taxable,standard-rate
Orville Redenbacher's Lime & Salt Popping Corn,,,Fruit->snack,,5.49,,,,,,,fs039,fs039.jpg,,taxable,standard-rate
Orville Redenbacher's Salt&Cracked Pepper Popping Corn,,,Fruit->snack,,5.49,,,,,,,fs040,fs040.jpg,,taxable,standard-rate
Orville Redenbacher's Buttery Popping Corn,,,Fruit->snack,,5.49,,,,,,,fs041,fs041.jpg,,taxable,standard-rate
Orville Redenbacher's White Cheddar Popping Corn,,,Fruit->snack,,5.49,,,,,,,fs042,fs042.jpg,,taxable,standard-rate
Popchips Original 85g,,,Fruit->snack,,3.29,,,,,,,fs043,fs043.jpg,,taxable,standard-rate
Popchips Sour Cream & Onions 85g,,,Fruit->snack,,3.29,,,,,,,fs044,fs044.jpg,,taxable,standard-rate
Popchips BBQ 85g,,,Fruit->snack,,3.29,,,,,,,fs045,fs045.jpg,,taxable,standard-rate
Cheetos Crunchy Cheese 310g,,,Fruit->snack,,3.49,,,,,,,fs046,fs046.jpg,,taxable,standard-rate
Cheetos Puffs Cheese 285g,,,Fruit->snack,,3.49,,,,,,,fs047,fs047.jpg,,taxable,standard-rate
Doritos Cool Ranch 260g,,,Fruit->snack,,3.79,,,,,,,fs048,fs048.jpg,,taxable,standard-rate
Doritos Nacho Cheese 260g,,,Fruit->snack,,3.79,,,,,,,fs049,fs049.jpg,,taxable,standard-rate
Doritos Spicy Nacho 260g,,,Fruit->snack,,3.79,,,,,,,fs050,fs050.jpg,,taxable,standard-rate
Doritos Spicy Sweet Chili 260g,,,Fruit->snack,,3.79,,,,,,,fs051,fs051.jpg,,taxable,standard-rate
Doritos Bold BBQ 260g,,,Fruit->snack,,3.79,,,,,,,fs052,fs052.jpg,,taxable,standard-rate
Doritos Zesty Cheese 260g,,,Fruit->snack,,3.79,,,,,,,fs053,fs053.jpg,,taxable,standard-rate
Doritos Jalapeno&Cheddar 260g,,,Fruit->snack,,3.79,,,,,,,fs054,fs054.jpg,,taxable,standard-rate
Kettle Sea Salt 220g,,,Fruit->snack,,3.99,,,,,,,fs055,fs055.jpg,,taxable,standard-rate
Kettle Sea Salt&Vinegar 220g,,,Fruit->snack,,3.99,,,,,,,fs056,fs056.jpg,,taxable,standard-rate
Kettle Honey Dijon 220g,,,Fruit->snack,,3.99,,,,,,,fs057,fs057.jpg,,taxable,standard-rate
Kettle Yougurt&Green Onion 220g,,,Fruit->snack,,3.99,,,,,,,fs058,fs058.jpg,,taxable,standard-rate
Koala's March 50g,,,Fruit->snack,,2.49,,,,,,,fs059,fs059.gif,,taxable,standard-rate
Lay's Salt&Vinegar 270g,,,Fruit->snack,,3.79,,,,,,,fs060,fs060.jpg,,taxable,standard-rate
Lay's Dill Pickle 270g,,,Fruit->snack,,3.79,,,,,,,fs061,fs061.jpg,,taxable,standard-rate
Lay's Wavy Original 270g,,,Fruit->snack,,3.79,,,,,,,fs062,fs062.jpg,,taxable,standard-rate
Lay's Sour Cream&Onion 270g,,,Fruit->snack,,3.79,,,,,,,fs063,fs063.jpg,,taxable,standard-rate
Lay's Wavy Old Fashioned BBQ 270g,,,Fruit->snack,,3.79,,,,,,,fs064,fs064.jpg,,taxable,standard-rate
Lay's Classic 270g,,,Fruit->snack,,3.79,,,,,,,fs065,fs065.jpg,,taxable,standard-rate
Lay's Ketchup 270g,,,Fruit->snack,,3.79,,,,,,,fs066,fs066.jpg,,taxable,standard-rate
Lay's Lightly Salted 270g,,,Fruit->snack,,3.79,,,,,,,fs067,fs067.jpg,,taxable,standard-rate
Lay's Smoky Bacon 270g,,,Fruit->snack,,3.79,,,,,,,fs068,fs068.gif,,taxable,standard-rate
Miss Vickie's Original Recipe 220g,,,Fruit->snack,,3.79,,,,,,,fs069,fs069.jpg,,taxable,standard-rate
Miss Vickie's Sea Salt&Vinegar 220,,,Fruit->snack,,3.79,,,,,,,fs070,fs070.jpg,,taxable,standard-rate
Miss Vickie's Sweet Chili & Sour Cream 220g,,,Fruit->snack,,3.79,,,,,,,fs071,fs071.jpg,,taxable,standard-rate
Miss Vickie's Unsalted 220g,,,Fruit->snack,,3.79,,,,,,,fs072,fs072.jpg,,taxable,standard-rate
Pringles Original 181g,,,Fruit->snack,,2.49,,,,,,,fs073,fs073.jpg,,taxable,standard-rate
Pringles BBQ 181g,,,Fruit->snack,,2.49,,,,,,,fs074,fs074.jpg,,taxable,standard-rate
Pringles Ranch 181g,,,Fruit->snack,,2.49,,,,,,,fs075,fs075.jpg,,taxable,standard-rate
Pringles Sour Cream&Onion 181g,,,Fruit->snack,,2.49,,,,,,,fs076,fs076.jpg,,taxable,standard-rate
Paldo Roasted Seaweed 5g,,,Fruit->snack,,1.99,,,,,,,fs077,fs077.jpg,,taxable,standard-rate
Ruffles Hot Wings 235g,,,Fruit->snack,,3.49,,,,,,,fs078,fs078.jpg,,taxable,standard-rate
Ruffles Original 235g,,,Fruit->snack,,3.49,,,,,,,fs079,fs079.jpg,,taxable,standard-rate
Smartfood Popcorn White Cheddar 220g,,,Fruit->snack,,3.79,,,,,,,fs080,fs080.jpg,,taxable,standard-rate
Smartfood Popcorn Sweet&Salty 220g,,,Fruit->snack,,3.79,,,,,,,fs081,fs081.jpg,,taxable,standard-rate
Quaker Crispy Minis Ketchup 100g,,,Fruit->snack,,2.29,,,,,,,fs082,fs082.gif,,taxable,standard-rate
Quaker Crispy Minis BBQ 100g,,,Fruit->snack,,2.29,,,,,,,fs083,fs083.gif,,taxable,standard-rate
Quaker Crispy Minis Butter Popcorn 100g,,,Fruit->snack,,2.29,,,,,,,fs084,fs084.gif,,taxable,standard-rate
Quaker Crispy Minis Cheddar 100g,,,Fruit->snack,,2.29,,,,,,,fs085,fs085.gif,,taxable,standard-rate
Quaker Crispy Minis Crunchy Dill 100g,,,Fruit->snack,,2.29,,,,,,,fs086,fs086.gif,,taxable,standard-rate
Quaker Crispy Minis Salt&Vinegar 100g,,,Fruit->snack,,2.29,,,,,,,fs087,fs087.gif,,taxable,standard-rate
Quaker Crispy Minis Sea Salt&Lime 100g,,,Fruit->snack,,2.29,,,,,,,fs088,fs088.gif,,taxable,standard-rate
Quaker Crispy Minis Sweet Chili 100g,,,Fruit->snack,,2.29,,,,,,,fs089,fs089.gif,,taxable,standard-rate
