title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Single Green Bell Pepper,,,Food->Vegetables,,0.99,,,,,,,fv001,single_green_bell_pepper.jpg,pepper,taxable,zero-rate
Single Yellow Bell Pepper,,,Food->Vegetables,,1.99,,,,,,,fv002,single_yellow_bell_pepper.jpg,pepper,taxable,zero-rate
Single Red Bell Pepper,,,Food->Vegetables,,1.99,,,,,,,fv003,single_red_bell_pepper.jpg,pepper,taxable,zero-rate
Seedless Cucumber,,,Food->Vegetables,,2.19,,,,,,,fv004,seedless_cucumber.jpg,cucumber,taxable,zero-rate
"Mini Cucumbers, 6-pack",,,Food->Vegetables,,4.19,,,,,,,fv005,mini_cucumber.jpg,cucumber,taxable,zero-rate
Roma Tomato,,,Food->Vegetables,,1.99,,,,,,,fv006,roma_tomato.jpg,tomato,taxable,zero-rate
Hot House Tomato,,,Food->Vegetables,,1.99,,,,,,,fv007,hot_house_tomato.jpg,tomato,taxable,zero-rate
"Carrot,3-lb",,,Food->Vegetables,,2.49,,,,,,,fv008,carrot.jpg,carrot,taxable,zero-rate
"Garlic, 3-pack",,,Food->Vegetables,,0.99,,,,,,,fv009,garlic.jpg,123,taxable,zero-rate
Green Zucchini Squash,,,Food->Vegetables,,2.99,,,,,,,fv010,green_zucchini_squash.jpg,squash,taxable,zero-rate
Ginger Root,,,Food->Vegetables,,0.99,,,,,,,fv011,ginger_root.jpg,123,taxable,zero-rate
White Onion,,,Food->Vegetables,,0.99,,,,,,,fv012,white_onion.jpeg,onion,taxable,zero-rate
Sweet Onion,,,Food->Vegetables,,0.99,,,,,,,fv013,sweet_onion.jpg,onion,taxable,zero-rate
Red Onion,,,Food->Vegetables,,1.49,,,,,,,fv014,red_onion.jpg,onion,taxable,zero-rate
Acorn Squash,,,Food->Vegetables,,1.99,,,,,,,fv015,acorn_squash.jpg,squash,taxable,zero-rate
Butternut Squash,,,Food->Vegetables,,1.99,,,,,,,fv016,butternut_squash.jpg,squash,taxable,zero-rate
Long Squash,,,Food->Vegetables,,1.99,,,,,,,fv017,long_squash.jpg,squash,taxable,zero-rate
Buttercup Squash,,,Food->Vegetables,,1.99,,,,,,,fv018,buttercup_squash.jpg,squash,taxable,zero-rate
Spaghetti Squash,,,Food->Vegetables,,2.49,,,,,,,fv019,spaghetti_squash.jpg,squash,taxable,zero-rate
Sweet Potato,,,Food->Vegetables,,0.99,,,,,,,fv020,sweet_potato.jpg,potato,taxable,zero-rate
Russet Potato,,,Food->Vegetables,,0.99,,,,,,,fv021,russet_potato.jpeg,potato,taxable,zero-rate
Babycut Carrot,,,Food->Vegetables,,2.99,,,,,,,fv022,babycut_carrot.jpg,carrot,taxable,zero-rate
